05/04/2022 15:35:56, File Created!
05/04/2022 15:35:56:792, 4, idle
05/04/2022 15:35:57:064, 4, idle
05/04/2022 15:35:57:335, 5, idle
05/04/2022 15:35:57:607, 6, idle
05/04/2022 15:35:57:875, 2, idle
05/04/2022 15:35:58:150, 5, idle
05/04/2022 15:35:58:420, 4, idle
05/04/2022 15:35:58:689, 3, idle
05/04/2022 15:35:58:959, 3, idle
05/04/2022 15:35:59:229, 2, idle
05/04/2022 15:35:59:504, 6, idle
05/04/2022 15:35:59:770, 2, idle
05/04/2022 15:36:00:043, 4, idle
05/04/2022 15:36:00:312, 3, idle
05/04/2022 15:36:00:584, 4, idle
05/04/2022 15:36:00:855, 3, idle
05/04/2022 15:36:01:129, 5, creating_exercise
05/04/2022 15:36:01:399, 3, creating_exercise
05/04/2022 15:36:01:668, 2, creating_exercise
05/04/2022 15:36:01:939, 2, creating_exercise
05/04/2022 15:36:02:210, 3, creating_exercise
05/04/2022 15:36:02:482, 4, creating_exercise
05/04/2022 15:36:02:750, 2, creating_exercise
05/04/2022 15:36:03:024, 5, creating_exercise
05/04/2022 15:36:03:294, 5, creating_exercise
05/04/2022 15:36:03:564, 4, creating_exercise
05/04/2022 15:36:03:835, 3, creating_exercise
05/04/2022 15:36:04:107, 4, creating_exercise
05/04/2022 15:36:04:377, 3, creating_exercise
05/04/2022 15:36:04:649, 4, idle
05/04/2022 15:36:04:917, 2, idle
05/04/2022 15:36:05:193, 7, creating_exercise
05/04/2022 15:36:05:459, 3, creating_exercise
05/04/2022 15:36:05:733, 5, creating_exercise
05/04/2022 15:36:06:002, 4, creating_exercise
05/04/2022 15:36:06:272, 3, creating_exercise
05/04/2022 15:36:06:547, 6, creating_exercise
05/04/2022 15:36:06:816, 5, creating_exercise
05/04/2022 15:36:07:088, 6, creating_exercise
05/04/2022 15:36:07:354, 1, creating_exercise
05/04/2022 15:36:07:627, 4, creating_exercise
05/04/2022 15:36:07:898, 4, creating_exercise
05/04/2022 15:36:08:166, 2, creating_exercise
05/04/2022 15:36:08:438, 3, creating_exercise
05/04/2022 15:36:08:708, 3, creating_exercise
05/04/2022 15:36:08:981, 5, creating_exercise
05/04/2022 15:36:09:251, 4, creating_exercise
05/04/2022 15:36:09:523, 6, creating_exercise
05/04/2022 15:36:09:790, 3, creating_exercise
05/04/2022 15:36:10:065, 7, creating_exercise
05/04/2022 15:36:10:333, 5, creating_exercise
05/04/2022 15:36:10:602, 2, creating_exercise
05/04/2022 15:36:10:875, 4, creating_exercise
05/04/2022 15:36:11:146, 4, creating_exercise
05/04/2022 15:36:11:431, 17, creating_exercise
05/04/2022 15:36:11:691, 5, idle
05/04/2022 15:36:11:959, 2, idle
05/04/2022 15:36:12:234, 5, idle
05/04/2022 15:36:12:503, 3, idle
05/04/2022 15:36:12:779, 7, idle
05/04/2022 15:36:13:045, 2, idle
05/04/2022 15:36:13:317, 4, idle
05/04/2022 15:36:13:587, 4, idle
05/04/2022 15:36:13:859, 5, idle
05/04/2022 15:36:14:130, 4, idle
05/04/2022 15:36:14:400, 4, idle
05/04/2022 15:36:14:670, 2, idle
05/04/2022 15:36:14:944, 5, idle
05/04/2022 15:36:15:213, 4, idle
05/04/2022 15:36:15:483, 4, idle
05/04/2022 15:36:15:752, 2, idle
05/04/2022 15:36:16:031, 11, idle
