05/04/2022 15:36:35, File Created!
05/04/2022 15:37:12:931, 4, idle
05/04/2022 15:37:13:202, 3, idle
05/04/2022 15:37:13:473, 2, idle
05/04/2022 15:37:13:746, 4, idle
05/04/2022 15:37:14:017, 5, idle
05/04/2022 15:37:14:288, 5, repeating_exercise
05/04/2022 15:37:14:603, 49, repeating_exercise
05/04/2022 15:37:14:832, 6, repeating_exercise
05/04/2022 15:37:15:103, 5, repeating_exercise
05/04/2022 15:37:15:410, 42, repeating_exercise
05/04/2022 15:37:15:699, 60, repeating_exercise
05/04/2022 15:37:16:014, 103, repeating_exercise
05/04/2022 15:37:16:187, 5, repeating_exercise
05/04/2022 15:37:16:458, 5, repeating_exercise
05/04/2022 15:37:16:729, 4, repeating_exercise
05/04/2022 15:37:16:998, 3, repeating_exercise
05/04/2022 15:37:17:324, 58, repeating_exercise
05/04/2022 15:37:17:542, 4, repeating_exercise
05/04/2022 15:37:17:829, 20, repeating_exercise
05/04/2022 15:37:18:083, 4, repeating_exercise
05/04/2022 15:37:18:407, 58, repeating_exercise
05/04/2022 15:37:18:624, 3, repeating_exercise
05/04/2022 15:37:18:895, 4, repeating_exercise
05/04/2022 15:37:19:167, 4, repeating_exercise
05/04/2022 15:37:19:435, 2, repeating_exercise
05/04/2022 15:37:19:708, 4, repeating_exercise
05/04/2022 15:37:19:977, 3, repeating_exercise
05/04/2022 15:37:20:288, 44, repeating_exercise
05/04/2022 15:37:20:520, 6, repeating_exercise
05/04/2022 15:37:20:852, 67, repeating_exercise
05/04/2022 15:37:21:110, 55, repeating_exercise
05/04/2022 15:37:21:331, 5, repeating_exercise
05/04/2022 15:37:21:601, 4, repeating_exercise
05/04/2022 15:37:21:871, 4, repeating_exercise
05/04/2022 15:37:22:141, 3, repeating_exercise
05/04/2022 15:37:22:456, 48, repeating_exercise
05/04/2022 15:37:22:688, 8, repeating_exercise
05/04/2022 15:37:22:956, 4, repeating_exercise
05/04/2022 15:37:23:230, 6, repeating_exercise
05/04/2022 15:37:23:551, 55, repeating_exercise
05/04/2022 15:37:23:834, 68, repeating_exercise
05/04/2022 15:37:24:051, 14, repeating_exercise
05/04/2022 15:37:24:316, 8, repeating_exercise
05/04/2022 15:37:24:639, 61, repeating_exercise
05/04/2022 15:37:24:894, 36, repeating_exercise
05/04/2022 15:37:25:184, 56, repeating_exercise
05/04/2022 15:37:25:403, 3, repeating_exercise
05/04/2022 15:37:25:676, 5, repeating_exercise
05/04/2022 15:37:25:945, 3, repeating_exercise
05/04/2022 15:37:26:279, 66, repeating_exercise
05/04/2022 15:37:26:512, 29, repeating_exercise
05/04/2022 15:37:26:758, 5, repeating_exercise
05/04/2022 15:37:27:028, 4, repeating_exercise
05/04/2022 15:37:27:298, 4, repeating_exercise
05/04/2022 15:37:27:569, 4, repeating_exercise
05/04/2022 15:37:27:839, 3, repeating_exercise
05/04/2022 15:37:28:112, 5, repeating_exercise
05/04/2022 15:37:28:383, 6, repeating_exercise
05/04/2022 15:37:28:651, 3, repeating_exercise
05/04/2022 15:37:28:920, 2, repeating_exercise
05/04/2022 15:37:29:193, 4, repeating_exercise
05/04/2022 15:37:29:465, 5, repeating_exercise
05/04/2022 15:37:29:740, 10, repeating_exercise
05/04/2022 15:37:30:018, 16, repeating_exercise
05/04/2022 15:37:30:277, 4, repeating_exercise
05/04/2022 15:37:30:552, 7, repeating_exercise
05/04/2022 15:37:30:820, 5, repeating_exercise
05/04/2022 15:37:31:090, 5, repeating_exercise
05/04/2022 15:37:31:363, 7, repeating_exercise
05/04/2022 15:37:31:637, 11, repeating_exercise
05/04/2022 15:37:31:906, 5, repeating_exercise
05/04/2022 15:37:32:173, 2, repeating_exercise
05/04/2022 15:37:32:446, 5, repeating_exercise
05/04/2022 15:37:32:757, 46, repeating_exercise
05/04/2022 15:37:33:037, 55, repeating_exercise
05/04/2022 15:37:33:259, 7, repeating_exercise
05/04/2022 15:37:33:527, 4, repeating_exercise
05/04/2022 15:37:33:810, 16, repeating_exercise
05/04/2022 15:37:34:067, 3, repeating_exercise
05/04/2022 15:37:34:344, 10, repeating_exercise
05/04/2022 15:37:34:609, 4, repeating_exercise
05/04/2022 15:37:34:884, 9, repeating_exercise
05/04/2022 15:37:35:153, 6, repeating_exercise
05/04/2022 15:37:35:468, 50, repeating_exercise
05/04/2022 15:37:35:744, 55, repeating_exercise
05/04/2022 15:37:35:965, 4, repeating_exercise
05/04/2022 15:37:36:236, 4, repeating_exercise
05/04/2022 15:37:36:505, 3, repeating_exercise
05/04/2022 15:37:36:779, 6, repeating_exercise
05/04/2022 15:37:37:109, 62, repeating_exercise
05/04/2022 15:37:37:323, 4, repeating_exercise
05/04/2022 15:37:37:601, 11, repeating_exercise
05/04/2022 15:37:37:866, 6, repeating_exercise
05/04/2022 15:37:38:139, 6, repeating_exercise
05/04/2022 15:37:38:446, 42, repeating_exercise
05/04/2022 15:37:38:681, 4, repeating_exercise
05/04/2022 15:37:38:952, 5, repeating_exercise
05/04/2022 15:37:39:224, 6, repeating_exercise
05/04/2022 15:37:39:493, 4, repeating_exercise
05/04/2022 15:37:39:764, 3, repeating_exercise
05/04/2022 15:37:40:038, 7, repeating_exercise
05/04/2022 15:37:40:305, 3, repeating_exercise
05/04/2022 15:37:40:575, 2, repeating_exercise
05/04/2022 15:37:40:847, 3, repeating_exercise
05/04/2022 15:37:41:117, 2, repeating_exercise
05/04/2022 15:37:41:389, 4, repeating_exercise
