21/03/2022 15:31:52, File Created!
21/03/2022 15:37:24:483, 7, idle
21/03/2022 15:37:24:754, 5, idle
21/03/2022 15:37:25:044, 15, idle
21/03/2022 15:37:25:311, 2, idle
21/03/2022 15:37:25:588, 7, idle
21/03/2022 15:37:25:854, 3, idle
21/03/2022 15:37:26:127, 5, idle
21/03/2022 15:37:26:397, 5, idle
21/03/2022 15:37:26:671, 7, idle
21/03/2022 15:37:26:952, 12, idle
21/03/2022 15:37:27:214, 3, idle
21/03/2022 15:37:27:487, 6, idle
21/03/2022 15:37:27:808, 23, idle
21/03/2022 15:37:28:105, 38, idle
21/03/2022 15:37:28:397, 16, idle
21/03/2022 15:37:28:662, 3, idle
21/03/2022 15:37:28:938, 8, idle
21/03/2022 15:37:29:207, 6, idle
21/03/2022 15:37:29:479, 3, idle
21/03/2022 15:37:29:750, 4, idle
21/03/2022 15:37:30:019, 3, idle
21/03/2022 15:37:30:293, 6, idle
21/03/2022 15:37:30:562, 2, idle
21/03/2022 15:37:30:832, 2, idle
21/03/2022 15:37:31:107, 6, idle
21/03/2022 15:37:31:382, 8, idle
21/03/2022 15:37:31:650, 6, idle
21/03/2022 15:37:31:917, 3, idle
21/03/2022 15:37:32:189, 4, idle
21/03/2022 15:37:32:507, 38, idle
21/03/2022 15:37:32:772, 3, idle
21/03/2022 15:37:33:043, 2, idle
21/03/2022 15:37:33:317, 6, idle
21/03/2022 15:37:33:586, 4, idle
21/03/2022 15:37:33:856, 4, idle
21/03/2022 15:37:34:132, 9, idle
21/03/2022 15:37:34:408, 11, idle
21/03/2022 15:37:34:675, 5, idle
21/03/2022 15:37:34:951, 10, idle
21/03/2022 15:37:35:218, 3, idle
21/03/2022 15:37:35:494, 8, idle
21/03/2022 15:37:35:762, 5, idle
21/03/2022 15:37:36:032, 4, idle
21/03/2022 15:37:36:302, 3, idle
21/03/2022 15:37:36:572, 3, idle
21/03/2022 15:37:36:845, 5, idle
21/03/2022 15:37:37:113, 3, idle
21/03/2022 15:37:37:387, 7, idle
21/03/2022 15:37:37:659, 5, idle
21/03/2022 15:37:37:929, 4, idle
21/03/2022 15:37:38:202, 5, idle
21/03/2022 15:37:38:475, 7, idle
21/03/2022 15:37:38:743, 5, idle
21/03/2022 15:37:39:030, 19, idle
21/03/2022 15:37:39:320, 18, idle
21/03/2022 15:37:39:590, 6, idle
21/03/2022 15:37:39:860, 3, idle
21/03/2022 15:37:40:133, 6, idle
21/03/2022 15:37:40:406, 7, idle
21/03/2022 15:37:40:689, 14, idle
21/03/2022 15:37:40:985, 15, idle
21/03/2022 15:37:41:256, 4, idle
21/03/2022 15:37:41:526, 3, idle
21/03/2022 15:37:41:798, 4, idle
21/03/2022 15:37:42:069, 3, idle
21/03/2022 15:37:42:341, 5, idle
21/03/2022 15:37:42:611, 3, idle
21/03/2022 15:37:42:894, 15, idle
21/03/2022 15:37:43:159, 3, idle
21/03/2022 15:37:43:434, 7, idle
21/03/2022 15:37:43:703, 4, idle
21/03/2022 15:37:43:971, 2, idle
21/03/2022 15:37:44:241, 2, idle
21/03/2022 15:37:44:517, 6, idle
21/03/2022 15:37:44:788, 5, idle
21/03/2022 15:37:45:057, 4, idle
21/03/2022 15:37:45:327, 4, idle
21/03/2022 15:37:45:600, 3, idle
21/03/2022 15:37:45:871, 3, idle
21/03/2022 15:37:46:145, 6, idle
21/03/2022 15:37:46:431, 21, idle
21/03/2022 15:37:46:688, 4, idle
21/03/2022 15:37:46:959, 5, idle
21/03/2022 15:37:47:229, 3, idle
21/03/2022 15:37:47:554, 55, idle
21/03/2022 15:37:47:819, 4, idle
21/03/2022 15:37:48:094, 6, idle
21/03/2022 15:37:48:362, 4, repeating_exercise
21/03/2022 15:37:48:632, 3, repeating_exercise
21/03/2022 15:37:48:901, 2, repeating_exercise
21/03/2022 15:37:49:176, 7, repeating_exercise
21/03/2022 15:37:49:444, 3, idle
21/03/2022 15:37:49:716, 4, idle
21/03/2022 15:37:49:990, 7, idle
21/03/2022 15:37:50:262, 5, idle
21/03/2022 15:37:50:533, 4, idle
21/03/2022 15:37:50:804, 4, idle
21/03/2022 15:37:51:079, 9, idle
21/03/2022 15:37:51:343, 2, idle
21/03/2022 15:37:51:619, 7, idle
21/03/2022 15:37:51:887, 4, idle
21/03/2022 15:37:52:161, 7, idle
21/03/2022 15:37:52:444, 19, idle
21/03/2022 15:37:52:722, 14, idle
21/03/2022 15:37:52:989, 4, idle
21/03/2022 15:37:53:260, 4, idle
21/03/2022 15:37:53:533, 4, idle
21/03/2022 15:37:53:803, 2, idle
21/03/2022 15:37:54:078, 7, idle
21/03/2022 15:37:54:352, 9, idle
21/03/2022 15:37:54:617, 3, idle
21/03/2022 15:37:54:888, 4, idle
21/03/2022 15:37:55:158, 3, idle
21/03/2022 15:37:55:431, 5, idle
21/03/2022 15:37:55:702, 4, idle
21/03/2022 15:37:55:971, 2, idle
21/03/2022 15:37:56:246, 6, idle
21/03/2022 15:37:56:514, 4, idle
21/03/2022 15:37:56:802, 18, idle
21/03/2022 15:37:57:066, 3, idle
21/03/2022 15:37:57:342, 7, idle
21/03/2022 15:37:57:607, 2, idle
21/03/2022 15:37:57:891, 15, idle
21/03/2022 15:37:58:151, 2, idle
21/03/2022 15:37:58:450, 30, idle
21/03/2022 15:37:58:693, 3, idle
21/03/2022 15:37:59:018, 57, idle
21/03/2022 15:37:59:287, 5, idle
21/03/2022 15:37:59:563, 11, idle
21/03/2022 15:37:59:831, 6, idle
21/03/2022 15:38:00:108, 13, idle
21/03/2022 15:38:00:378, 5, idle
21/03/2022 15:38:00:661, 17, repeating_exercise
21/03/2022 15:38:00:996, 80, repeating_exercise
21/03/2022 15:38:01:188, 2, repeating_exercise
21/03/2022 15:38:01:461, 4, repeating_exercise
21/03/2022 15:38:01:783, 56, repeating_exercise
21/03/2022 15:38:02:061, 62, repeating_exercise
21/03/2022 15:38:02:279, 10, repeating_exercise
21/03/2022 15:38:02:566, 24, repeating_exercise
21/03/2022 15:38:02:829, 4, repeating_exercise
21/03/2022 15:38:03:113, 18, repeating_exercise
21/03/2022 15:38:03:369, 3, repeating_exercise
21/03/2022 15:38:03:695, 58, repeating_exercise
21/03/2022 15:38:03:911, 3, repeating_exercise
21/03/2022 15:38:04:182, 3, repeating_exercise
21/03/2022 15:38:04:501, 52, repeating_exercise
21/03/2022 15:38:04:739, 16, repeating_exercise
21/03/2022 15:38:05:038, 38, repeating_exercise
21/03/2022 15:38:05:280, 10, repeating_exercise
21/03/2022 15:38:05:554, 11, repeating_exercise
21/03/2022 15:38:05:828, 9, repeating_exercise
21/03/2022 15:38:06:416, 54, repeating_exercise
21/03/2022 15:38:06:635, 3, repeating_exercise
21/03/2022 15:38:06:910, 8, repeating_exercise
21/03/2022 15:38:07:182, 10, repeating_exercise
21/03/2022 15:38:07:453, 5, repeating_exercise
21/03/2022 15:38:07:722, 4, repeating_exercise
21/03/2022 15:38:08:027, 38, repeating_exercise
21/03/2022 15:38:08:262, 2, repeating_exercise
21/03/2022 15:38:08:590, 60, repeating_exercise
21/03/2022 15:38:08:805, 2, repeating_exercise
21/03/2022 15:38:09:080, 7, repeating_exercise
21/03/2022 15:38:09:345, 2, repeating_exercise
21/03/2022 15:38:09:620, 5, repeating_exercise
21/03/2022 15:38:09:896, 7, repeating_exercise
21/03/2022 15:38:10:162, 2, repeating_exercise
21/03/2022 15:38:10:440, 8, repeating_exercise
21/03/2022 15:38:10:705, 2, repeating_exercise
21/03/2022 15:38:10:979, 6, repeating_exercise
21/03/2022 15:38:11:248, 3, repeating_exercise
21/03/2022 15:38:11:522, 6, repeating_exercise
21/03/2022 15:38:11:791, 3, repeating_exercise
21/03/2022 15:38:12:065, 7, repeating_exercise
21/03/2022 15:38:12:332, 2, repeating_exercise
21/03/2022 15:38:12:609, 6, repeating_exercise
21/03/2022 15:38:12:884, 9, repeating_exercise
21/03/2022 15:38:13:161, 13, repeating_exercise
21/03/2022 15:38:13:423, 5, repeating_exercise
