Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.2945265,0.9134992,0.6328212,0.2892796,0.9185881,0.6253372,0.01462561,0.1166356,0.07407106,-0.9903008,-0.04706988,-0.5090861,-0.02324447,-0.8591132,1654785877073,1654785748224
1,1,0.2945247,0.9134949,0.6328242,0.2892796,0.9185881,0.6253372,0.01462894,0.1166364,0.07407507,-0.9903004,-0.04706988,-0.5090861,-0.02324447,-0.8591132,1654785877114,1654785748258
2,2,0.2945214,0.9134946,0.6328241,0.2892796,0.9185881,0.6253372,0.01464156,0.1166374,0.07408207,-0.9902995,-0.04706988,-0.5090861,-0.02324447,-0.8591132,1654785877155,1654785748307
3,3,0.2945262,0.9135058,0.6328053,0.2893297,0.9185776,0.6253281,0.01463866,0.1165842,0.07408134,-0.9903059,-0.04702647,-0.5088719,-0.02322465,-0.859243,1654785877211,1654785748360
4,4,0.2882223,0.9216291,0.6214262,0.2895671,0.9185539,0.6253316,0.01567775,0.1159452,0.07438762,-0.9903421,-0.04694532,-0.5082284,-0.02317318,-0.8596296,1654785877266,1654785748409
5,5,0.2849534,0.9229676,0.6173707,0.2902114,0.9183903,0.6254728,0.01632672,0.113142,0.07432573,-0.9906604,-0.04669809,-0.5064258,-0.02302676,-0.8607103,1654785877308,1654785748461
6,6,0.2837447,0.9240352,0.6141818,0.2915873,0.9181433,0.6257023,0.01772039,0.1074248,0.07443441,-0.9912646,-0.04630326,-0.5030275,-0.02271509,-0.8627303,1654785877363,1654785748511
7,7,0.2846096,0.9233756,0.6135672,0.293604,0.9178053,0.6259801,0.01959522,0.09950737,0.07430711,-0.992065,-0.04590623,-0.4980205,-0.02226496,-0.8656631,1654785877419,1654785748561
8,8,0.2855785,0.9226094,0.6136512,0.296109,0.9174258,0.6264101,0.020621,0.09319066,0.07449536,-0.9926433,-0.04514135,-0.4920446,-0.02166364,-0.8691289,1654785877461,1654785748611
9,9,0.2877831,0.9216798,0.6137266,0.2987818,0.9170555,0.6267751,0.0213889,0.08516037,0.07396404,-0.9933879,-0.04449514,-0.4852575,-0.02099785,-0.8729859,1654785877516,1654785748661
10,10,0.2892674,0.9211906,0.6138776,0.3016932,0.9166408,0.6271746,0.02217167,0.07826424,0.0734886,-0.9939731,-0.04389246,-0.4780892,-0.02038187,-0.8769771,1654785877559,1654785748713
11,11,0.2908573,0.9206312,0.613829,0.3044169,0.9162377,0.6276154,0.02304765,0.0710419,0.07413508,-0.9944475,-0.04322228,-0.4713727,-0.01979506,-0.8806519,1654785877614,1654785748761
12,12,0.2928675,0.9201032,0.6137809,0.3071213,0.9157947,0.6280624,0.02453172,0.06222822,0.07380974,-0.9950266,-0.04250272,-0.4643189,-0.01919919,-0.8844393,1654785877670,1654785748811
13,13,0.2950292,0.9198153,0.6139722,0.3098622,0.9153301,0.6285481,0.02486398,0.05674007,0.0744854,-0.9952961,-0.04168309,-0.4571905,-0.01855394,-0.8881977,1654785877712,1654785748863
14,14,0.2975454,0.9193583,0.6144176,0.3125773,0.9148763,0.6290227,0.02588568,0.04875411,0.0755903,-0.9956099,-0.04090767,-0.4499421,-0.01792383,-0.8919403,1654785877767,1654785748913
15,15,0.3006005,0.9187933,0.6149585,0.3153307,0.9144536,0.6294298,0.02706039,0.04061536,0.0758635,-0.9959232,-0.04037447,-0.4430641,-0.01724797,-0.8954143,1654785877823,1654785748965
16,16,0.3031842,0.9184274,0.6156898,0.317995,0.9140326,0.6298286,0.02775327,0.03440809,0.07564238,-0.9961547,-0.03968243,-0.4360254,-0.01661319,-0.8989055,1654785877864,1654785749014
17,17,0.3052603,0.918261,0.6157529,0.320778,0.9136189,0.6302567,0.0288447,0.02703972,0.07630219,-0.9963006,-0.03898519,-0.4288239,-0.01598465,-0.902405,1654785877920,1654785749065
18,18,0.3081269,0.9174122,0.6172804,0.3235264,0.9131738,0.6307616,0.03027586,0.02014515,0.07542134,-0.9964885,-0.03822519,-0.421731,-0.01542065,-0.9057837,1654785877962,1654785749116
