Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.2494176,0.9148912,0.5726017,0.2516557,0.9149964,0.573642,0.02140391,0.1556855,0.06731145,-0.9852782,-0.01226363,-0.476461,-0.01786265,-0.8789286,1654786248838,1654786119905
1,1,0.2493935,0.9149034,0.5725814,0.2516557,0.9149964,0.573642,0.02141942,0.1557083,0.0673504,-0.9852716,-0.01226363,-0.476461,-0.01786265,-0.8789286,1654786248864,1654786119941
2,2,0.249311,0.9148993,0.5726389,0.2516336,0.9150062,0.5736378,0.02146754,0.1557528,0.0673796,-0.9852615,-0.01226363,-0.476461,-0.01786265,-0.8789286,1654786248920,1654786119993
3,3,0.2492356,0.9148676,0.572715,0.251624,0.9150062,0.5736406,0.0214435,0.1557936,0.06733788,-0.9852584,-0.01226363,-0.476461,-0.01786265,-0.8789286,1654786248974,1654786120044
4,4,0.2493129,0.9148147,0.5728487,0.2516432,0.9150061,0.5736349,0.02136127,0.1558816,0.06730728,-0.9852484,-0.01226363,-0.476461,-0.01786265,-0.8789286,1654786249030,1654786120095
5,5,0.2493992,0.9147786,0.5729456,0.2517093,0.915007,0.5736462,0.02134408,0.1558203,0.06729757,-0.9852591,-0.01226453,-0.476417,-0.01786205,-0.8789526,1654786249072,1654786120145
6,6,0.2496082,0.9147164,0.573007,0.251899,0.9149984,0.5736519,0.02158115,0.1552074,0.06729297,-0.985351,-0.01222631,-0.4758893,-0.01784468,-0.8792393,1654786249127,1654786120197
7,7,0.2501745,0.9144431,0.5732763,0.2523938,0.9148501,0.5738741,0.02207781,0.1532642,0.06728882,-0.9856444,-0.01186275,-0.4744795,-0.01774603,-0.8800079,1654786249170,1654786120247
8,8,0.2521162,0.9139931,0.5734646,0.2535339,0.9145969,0.5741249,0.02311437,0.1475008,0.06740942,-0.9864914,-0.01159394,-0.4712601,-0.01758566,-0.8817428,1654786249225,1654786120298
9,9,0.254899,0.9137378,0.5739958,0.2553664,0.9144126,0.5744876,0.02413804,0.140133,0.06763037,-0.9875253,-0.01121169,-0.46675,-0.01733372,-0.8841484,1654786249281,1654786120349
10,10,0.2569878,0.9134408,0.5746039,0.2576974,0.9142177,0.5750136,0.02516352,0.1335336,0.06763719,-0.9884133,-0.01067275,-0.4609805,-0.01693618,-0.8871846,1654786249322,1654786120398
11,11,0.2600903,0.9129871,0.5752665,0.260343,0.9139777,0.5756135,0.02664022,0.1248665,0.06734166,-0.989527,-0.009994134,-0.4540346,-0.01655608,-0.8907743,1654786249378,1654786120448
12,12,0.2630327,0.9127332,0.5757605,0.2631185,0.9136592,0.5762295,0.02797931,0.1171409,0.06749242,-0.9904242,-0.009359747,-0.4470609,-0.01619598,-0.894308,1654786249433,1654786120499
13,13,0.2651514,0.9124447,0.5764074,0.2658475,0.9133036,0.5769343,0.02979711,0.1105634,0.06740172,-0.9911332,-0.008580089,-0.4396096,-0.01581851,-0.8980088,1654786249476,1654786120550
14,14,0.2676831,0.9119746,0.5770185,0.2686215,0.9129475,0.577615,0.03104879,0.1023528,0.06839047,-0.9919086,-0.007895947,-0.4324421,-0.0154236,-0.9014953,1654786249531,1654786120602
15,15,0.2699859,0.911584,0.5776496,0.2712271,0.9125714,0.5783266,0.0323858,0.09658522,0.06878103,-0.992417,-0.007106468,-0.4252912,-0.01502657,-0.904904,1654786249573,1654786120652
16,16,0.2729031,0.9111894,0.5785482,0.2739898,0.9122077,0.5790738,0.0339561,0.0883444,0.06848953,-0.9931523,-0.006311968,-0.418068,-0.01464263,-0.9082758,1654786249629,1654786120702
17,17,0.2756959,0.9108203,0.5795381,0.2767106,0.9119098,0.579716,0.03551835,0.08044064,0.0687619,-0.9937503,-0.005659118,-0.4109105,-0.01429203,-0.9115461,1654786249684,1654786120752
18,18,0.278076,0.9103929,0.5802579,0.2794682,0.9115741,0.5804113,0.03667369,0.07440526,0.06922701,-0.9941461,-0.004906699,-0.4034064,-0.01393878,-0.9149016,1654786249726,1654786120805
19,19,0.280967,0.9100276,0.5810987,0.2821251,0.9112569,0.5810842,0.03847926,0.06556109,0.06874118,-0.994734,-0.004147321,-0.3963781,-0.01355159,-0.917978,1654786249782,1654786120852
20,20,0.2835777,0.9095073,0.5818509,0.2848273,0.9109132,0.5818384,0.04009145,0.05660645,0.06848,-0.9952381,-0.003389597,-0.3891863,-0.01312655,-0.9210594,1654786249837,1654786120904
21,21,0.2857614,0.9091967,0.5821897,0.2875092,0.9105766,0.5825253,0.04133186,0.05166876,0.06950264,-0.9953851,-0.002623707,-0.3817417,-0.01276326,-0.9241772,1654786249880,1654786120953
22,22,0.2885704,0.908796,0.5829582,0.2902668,0.910231,0.583221,0.04278449,0.0425004,0.0692924,-0.9957719,-0.001963899,-0.3740378,-0.01232189,-0.9273295,1654786249935,1654786121006
23,23,0.2910513,0.9082952,0.5833977,0.2930236,0.9098865,0.5839483,0.04429939,0.03437388,0.06961891,-0.9959966,-0.001285776,-0.366868,-0.01194304,-0.9301955,1654786249991,1654786121056
24,24,0.2932576,0.9079903,0.583919,0.2957555,0.9095314,0.5846626,0.04539558,0.02824797,0.06951505,-0.996147,-0.0006102324,-0.3593016,-0.01152527,-0.9331503,1654786250033,1654786121108
25,25,0.2960669,0.9076738,0.5845366,0.2985115,0.9091781,0.5854219,0.04698914,0.01928956,0.06916591,-0.9963112,0.0001761019,-0.3518059,-0.01116261,-0.9360064,1654786250089,1654786121159
26,26,0.2985508,0.9075117,0.5850952,0.3012553,0.9089033,0.5861399,0.04853346,0.01061783,0.06933062,-0.9963559,0.0009140521,-0.3444257,-0.01071617,-0.938752,1654786250143,1654786121209
27,27,0.3006549,0.9070747,0.5856594,0.3040456,0.9085706,0.5869088,0.04940747,0.004932577,0.0698199,-0.9963231,0.001658708,-0.336557,-0.01038259,-0.9416044,1654786250185,1654786121261
28,28,0.3035755,0.9068087,0.5863537,0.3068018,0.9081774,0.5876696,0.05119133,-0.003853571,0.06994373,-0.9962291,0.002407551,-0.3288977,-0.009961903,-0.94431,1654786250242,1654786121312
29,29,0.3054354,0.9065282,0.5870166,0.3095282,0.9078255,0.5884692,0.05227034,-0.0102307,0.07026895,-0.9961051,0.003164962,-0.3214064,-0.009553194,-0.946888,1654786250283,1654786121362
30,30,0.3081031,0.9061054,0.5876499,0.3122668,0.9075039,0.5892742,0.05392793,-0.01801217,0.0705355,-0.9958876,0.00407584,-0.3137024,-0.009104311,-0.949469,1654786250339,1654786121413
31,31,0.3111181,0.9058255,0.5884503,0.3150866,0.9071899,0.5900021,0.05509341,-0.0262522,0.06999144,-0.995679,0.004643053,-0.3057451,-0.00872764,-0.9520621,1654786250395,1654786121466
32,32,0.3131349,0.9056005,0.589033,0.3179387,0.9069049,0.5906982,0.05608169,-0.03265012,0.07021549,-0.9954188,0.005220339,-0.2981961,-0.008358866,-0.9544538,1654786250436,1654786121516
33,33,0.3157565,0.9050249,0.5901095,0.3207042,0.9065856,0.5915578,0.05782745,-0.04227064,0.0699936,-0.9949724,0.006101072,-0.2902898,-0.007951587,-0.9568864,1654786250492,1654786121565
34,34,0.3187612,0.9044685,0.5910952,0.3233886,0.9062147,0.5923917,0.05936819,-0.04921976,0.0708738,-0.9944997,0.006940454,-0.2825549,-0.007507741,-0.9591967,1654786250547,1654786121617
35,35,0.3207566,0.9041501,0.5916938,0.3261996,0.9058248,0.5932299,0.06040182,-0.05563929,0.07125182,-0.994072,0.007685602,-0.2745629,-0.00707835,-0.9615124,1654786250590,1654786121666
36,36,0.3235118,0.9036816,0.5925509,0.3289629,0.9055239,0.5940475,0.06173481,-0.06483682,0.07097864,-0.9934521,0.008391157,-0.2669381,-0.006657094,-0.9636542,1654786250645,1654786121718
37,37,0.3264837,0.903225,0.5935504,0.3316835,0.9051812,0.5948276,0.06319276,-0.0739383,0.07060371,-0.9927512,0.009102404,-0.259104,-0.006249368,-0.9657863,1654786250701,1654786121768
38,38,0.3286428,0.9030211,0.594251,0.334563,0.9048625,0.595684,0.06423741,-0.08011303,0.07076951,-0.9921931,0.009818137,-0.2511097,-0.005905002,-0.9678909,1654786250743,1654786121820
39,39,0.3312702,0.9024707,0.5953386,0.3373875,0.9045705,0.5964618,0.06577546,-0.08860234,0.07116046,-0.9913422,0.0104955,-0.2432421,-0.005468965,-0.9698935,1654786250799,1654786121869
40,40,0.3344619,0.9020024,0.5962623,0.3403078,0.9041833,0.5973505,0.06735352,-0.09702142,0.07116223,-0.9904475,0.01128054,-0.2348224,-0.005006343,-0.9719599,1654786250855,1654786121921
41,41,0.3363917,0.9018561,0.5970287,0.3430655,0.9038616,0.5981498,0.06831071,-0.1037076,0.07143876,-0.9896843,0.01197098,-0.227022,-0.004643053,-0.9738051,1654786250896,1654786121970
42,42,0.3392528,0.9013389,0.5982128,0.3459309,0.9035249,0.5990635,0.07044001,-0.1123256,0.07078712,-0.9886407,0.01277369,-0.218912,-0.004202604,-0.975652,1654786250952,1654786122021
43,43,0.3418508,0.9011799,0.598537,0.3487758,0.9032256,0.5999087,0.07051966,-0.1179629,0.07093493,-0.9879676,0.01348111,-0.2108872,-0.003816158,-0.97741,1654786250993,1654786122072
44,44,0.344567,0.9009678,0.5988838,0.3516592,0.9029808,0.6006041,0.07090619,-0.127791,0.07008814,-0.9867773,0.01405066,-0.2028485,-0.003378302,-0.9791035,1654786251049,1654786122123
45,45,0.3471627,0.9003966,0.6002967,0.3545986,0.9026982,0.6013469,0.07235646,-0.1365631,0.07095557,-0.9854341,0.01461726,-0.1943574,-0.003056198,-0.9808171,1654786251105,1654786122175
46,46,0.349707,0.9000643,0.6015154,0.3573287,0.9022847,0.6023673,0.07283911,-0.1428532,0.07083841,-0.9845148,0.01556048,-0.1861415,-0.00257805,-0.9823964,1654786251146,1654786122225
47,47,0.3527694,0.8999584,0.6020223,0.3603203,0.901989,0.603283,0.07078774,-0.152403,0.06963295,-0.9833177,0.01625848,-0.1779155,-0.002136827,-0.9839091,1654786251202,1654786122277
48,48,0.3553871,0.8996294,0.6028236,0.3633334,0.9017296,0.6040967,0.07124494,-0.1615252,0.06893701,-0.9818765,0.01690179,-0.1689905,-0.001812369,-0.9854712,1654786251258,1654786122329
49,49,0.3576168,0.8990698,0.6042629,0.3660435,0.9014222,0.6050143,0.07358488,-0.1651517,0.07014062,-0.981015,0.01766643,-0.1613328,-0.001391023,-0.9867409,1654786251300,1654786122380
50,50,0.35969,0.8986201,0.6057582,0.3683241,0.9010458,0.6060333,0.07487462,-0.1705241,0.07105302,-0.979932,0.01860222,-0.1550967,-0.0008763969,-0.9877238,1654786251356,1654786122430
51,51,0.3600877,0.8983408,0.6056151,0.3700733,0.9008015,0.6066746,0.075787,-0.1727917,0.07043797,-0.979509,0.01910722,-0.1504433,-0.0005824268,-0.9884339,1654786251411,1654786122480
52,52,0.3601274,0.8982529,0.6053755,0.3709562,0.9006372,0.6069368,0.07518717,-0.1737868,0.0707133,-0.9793593,0.01928282,-0.147671,-0.0004597604,-0.9888485,1654786251453,1654786122530
53,53,0.3601263,0.8981875,0.6052308,0.3711854,0.9005873,0.6069009,0.07551506,-0.1746026,0.07088524,-0.9791766,0.01928958,-0.1464833,-0.0004335046,-0.9890249,1654786251508,1654786122581
54,54,0.3600138,0.8980775,0.6054525,0.3710797,0.9005191,0.606967,0.07580091,-0.1752524,0.07162217,-0.9789847,0.01941025,-0.1460353,-0.0003085136,-0.989089,1654786251551,1654786122634
55,55,0.3599045,0.8980039,0.605338,0.3710427,0.9004921,0.6070524,0.07655907,-0.1755276,0.07211579,-0.9788402,-0.01951656,0.1459839,0.0002241135,0.9890944,1654786251605,1654786122683
56,56,0.360125,0.898073,0.6052802,0.3711599,0.9004672,0.6071643,0.07644594,-0.1751381,0.0717755,-0.9789438,-0.01956606,0.1461322,0.0002284944,0.9890716,1654786251662,1654786122734
57,57,0.3605344,0.8983731,0.6051279,0.371353,0.9005277,0.6071453,0.07578848,-0.1744933,0.07074337,-0.9791852,-0.01950198,0.1462331,0.0003181994,0.9890579,1654786251717,1654786122780
58,58,0.3607077,0.8984891,0.6051658,0.3715152,0.9006068,0.6070931,0.07563325,-0.1741027,0.07022594,-0.979304,0.01944518,-0.1463835,-0.0004079044,-0.9890367,1654786251760,1654786122832
59,59,0.3606825,0.8984281,0.6054156,0.3714855,0.9006182,0.607133,0.07580515,-0.1736864,0.07013501,-0.9793711,-0.01943076,0.1465327,0.0004533827,0.9890149,1654786251815,1654786122881
60,60,0.3598079,0.8982251,0.6059824,0.3707116,0.9005749,0.607442,0.07657688,-0.173505,0.07024649,-0.9793352,-0.01948747,0.1464822,0.0004122853,0.9890214,1654786251856,1654786122932
61,61,0.3566909,0.8981255,0.6071742,0.3686404,0.9005663,0.6080899,0.0782911,-0.1726912,0.07032172,-0.9793381,-0.01949477,0.1465307,0.0003617704,0.9890139,1654786251912,1654786122983
62,62,0.350595,0.8978959,0.6089799,0.3648033,0.9005687,0.6093238,0.08020816,-0.1726902,0.07006122,-0.9792018,-0.01954421,0.1466296,0.000367105,0.9889983,1654786251967,1654786123034
63,63,0.3444014,0.8980891,0.610248,0.3588293,0.9005864,0.6110572,0.08029284,-0.1730055,0.0698047,-0.9791575,-0.01954418,0.1465308,0.000369072,0.989013,1654786252009,1654786123086
64,64,0.3350105,0.8980296,0.6128159,0.3517341,0.9005662,0.6132985,0.08101196,-0.1725587,0.06991842,-0.979169,-0.0197072,0.1464298,0.0002939999,0.9890248,1654786252066,1654786123136
65,65,0.3281557,0.8980207,0.6148312,0.3440264,0.9005391,0.6157255,0.08183727,-0.1739782,0.07043123,-0.9788124,-0.01981342,0.1462805,0.0002622008,0.9890448,1654786252107,1654786123187
66,66,0.3199386,0.8982821,0.6168238,0.3364521,0.9005773,0.6180049,0.08179979,-0.1743608,0.07117961,-0.9786933,-0.01986277,0.1461816,0.0002714694,0.9890584,1654786252163,1654786123239
67,67,0.3122666,0.8984793,0.6187944,0.3289279,0.9006616,0.6201731,0.0818654,-0.1743876,0.0714636,-0.9786624,-0.01974919,0.1461835,0.0003557205,0.9890603,1654786252218,1654786123289
68,68,0.3062282,0.8987913,0.6205019,0.3219568,0.9007714,0.6221312,0.08067509,-0.174247,0.07079899,-0.9788345,-0.0195367,0.1461856,0.0004253387,0.9890642,1654786252260,1654786123340
69,69,0.2988014,0.8989521,0.6228448,0.3148555,0.9008612,0.6241086,0.0807209,-0.1741549,0.07100678,-0.9788321,0.01938835,-0.1461866,-0.0004539192,-0.9890671,1654786252315,1654786123391
70,70,0.2915369,0.8991894,0.6253211,0.3077493,0.9008882,0.6262782,0.08133049,-0.1744893,0.0713495,-0.9786972,0.01939568,-0.1461856,-0.0004044175,-0.989067,1654786252371,1654786123442
71,71,0.2828131,0.8991656,0.628229,0.3003646,0.9009379,0.6285625,0.08250001,-0.175171,0.07228351,-0.9784089,0.01945245,-0.1462835,-0.0003603995,-0.9890513,1654786252427,1654786123493
72,72,0.2760598,0.8990116,0.6306885,0.2935156,0.9008861,0.6307203,0.0839957,-0.1753827,0.07432426,-0.9780908,-0.01955876,0.1462815,0.0002750158,0.9890497,1654786252469,1654786123544
73,73,0.2695354,0.8990112,0.6330662,0.2867874,0.9008044,0.6328635,0.08506042,-0.1765224,0.07410397,-0.9778104,-0.01982063,0.1460323,0.000217706,0.9890813,1654786252524,1654786123595
74,74,0.2650609,0.8991017,0.6348271,0.280019,0.9007554,0.6350803,0.08542473,-0.1758275,0.07379744,-0.977927,-0.02008241,0.1460303,0.0001553893,0.9890763,1654786252566,1654786123645
75,75,0.2582097,0.8994444,0.6368182,0.2736703,0.9008561,0.6369551,0.08456175,-0.1755292,0.07339936,-0.9780856,-0.01991221,0.1462311,0.0002777576,0.98905,1654786252621,1654786123696
76,76,0.2510976,0.8997905,0.6387747,0.2670229,0.9010514,0.6387386,0.08360648,-0.1755591,0.07246707,-0.9782318,-0.01954409,0.1462835,0.0003739297,0.9890496,1654786252678,1654786123747
77,77,0.2461152,0.8999754,0.6403676,0.2606258,0.9011883,0.640522,0.0834373,-0.1751392,0.07222348,-0.9783396,0.01928952,-0.1463845,-0.0004354119,-0.9890397,1654786252720,1654786123797
78,78,0.2390126,0.8998818,0.6428924,0.2540403,0.9012219,0.6425129,0.08350144,-0.175451,0.07254139,-0.9782547,0.01928225,-0.1464348,-0.0004839003,-0.9890324,1654786252775,1654786123848
79,79,0.2320433,0.899738,0.6453307,0.2476783,0.9012088,0.6445531,0.08441602,-0.1757313,0.07304628,-0.9780883,-0.01948738,0.1462844,0.0004161,0.9890506,1654786252831,1654786123899
80,80,0.2272675,0.8996558,0.646985,0.2411754,0.9012027,0.6465415,0.0849839,-0.1754953,0.07298791,-0.9780859,-0.01959363,0.1462341,0.0003822446,0.989056,1654786252873,1654786123951
81,81,0.2204866,0.8997383,0.6491864,0.2348865,0.9012448,0.6484423,0.08507998,-0.1755219,0.07303321,-0.9780693,-0.01953679,0.1462844,0.0004234016,0.9890497,1654786252929,1654786124002
82,82,0.2137016,0.8998259,0.651298,0.2286301,0.9012958,0.6503121,0.08486257,-0.1753805,0.07265517,-0.9781417,-0.01948738,0.1462844,0.0004161,0.9890506,1654786252984,1654786124052
83,83,0.2069786,0.8998302,0.6534045,0.2220895,0.9013288,0.652279,0.08494627,-0.1754508,0.07242416,-0.978139,-0.01948741,0.1463339,0.0004151165,0.9890434,1654786253040,1654786124105
84,84,0.2023595,0.8998923,0.6547091,0.2161711,0.9013485,0.6540582,0.08498994,-0.1750911,0.07245589,-0.9781973,-0.01943797,0.1463339,0.000407815,0.9890443,1654786253081,1654786124155
