Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,-0.02885452,0.9150324,0.4972898,-0.02886467,0.9150324,0.4972997,0.006148497,-0.2963747,-0.07510782,0.9520941,0.02862163,0.3355401,0.02769405,0.9411838,1654789216732,1654789088117
1,1,-0.02885443,0.9150322,0.4972898,-0.02886467,0.9150324,0.4972997,0.0061478,-0.2963733,-0.07511132,0.9520942,0.02862163,0.3355401,0.02769405,0.9411838,1654789216773,1654789088152
2,2,-0.02885454,0.9150324,0.4972898,-0.02886452,0.9150325,0.4972897,0.006148624,-0.2963747,-0.07510652,0.9520941,0.02862304,0.3354929,0.02769262,0.9412005,1654789216814,1654789088201
3,3,-0.02885417,0.9150321,0.4972889,-0.02882482,0.9150323,0.4973103,0.006141322,-0.2963564,-0.07511373,0.9520993,0.02858178,0.3353046,0.02766952,0.9412696,1654789216869,1654789088253
4,4,-0.02851469,0.9150249,0.4973942,-0.02862605,0.9150114,0.497393,0.005984129,-0.2945796,-0.07571593,0.9526039,0.02855434,0.3346454,0.02763215,0.9415061,1654789216911,1654789088304
5,5,-0.02763993,0.9146268,0.4977646,-0.02808037,0.9149289,0.4976806,0.005554116,-0.2915085,-0.0759381,0.9535331,0.02838826,0.332901,0.02744603,0.9421348,1654789216966,1654789088353
6,6,-0.02537844,0.9142174,0.4991099,-0.02702006,0.9147437,0.4983253,0.004435803,-0.2848509,-0.07634395,0.9555166,0.02810012,0.3294559,0.02709454,0.9433639,1654789217022,1654789088404
7,7,-0.02351979,0.9139,0.5002049,-0.02520545,0.9144551,0.4993506,0.003912093,-0.2794885,-0.07657305,0.9570828,0.02782273,0.3238801,0.02666593,0.945313,1654789217063,1654789088454
8,8,-0.02110836,0.9135316,0.501804,-0.02313367,0.914135,0.5005695,0.002153143,-0.2702851,-0.07600221,0.9597734,0.02726538,0.3175311,0.02600971,0.947499,1654789217119,1654789088505
9,9,-0.018317,0.9131233,0.5034388,-0.02082551,0.9137635,0.5020316,0.0007982344,-0.2624179,-0.07669933,0.9619009,0.02659884,0.3102195,0.02539769,0.9499534,1654789217175,1654789088556
