Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,-0.16405,0.9168733,0.3804792,-0.1633326,0.9165816,0.381411,0.003041136,-0.4354206,-0.06938925,0.8975438,0.01788884,0.1928601,0.0292587,0.9806268,1655116540624,1655116404943
1,1,-0.163994,0.9168206,0.3805777,-0.1633326,0.9165816,0.381411,0.003068937,-0.4354125,-0.06938361,0.897548,0.01788884,0.1928601,0.0292587,0.9806268,1655116540650,1655116404977
2,2,-0.163915,0.916743,0.3806883,-0.1633326,0.9165816,0.381411,0.003106528,-0.4353676,-0.06936616,0.897571,0.01788884,0.1928601,0.0292587,0.9806268,1655116540704,1655116405027
3,3,-0.1638124,0.9166529,0.380829,-0.1632881,0.9165717,0.381436,0.003076874,-0.4351363,-0.06937279,0.8976827,0.01789465,0.192664,0.02925506,0.9806654,1655116540759,1655116405077
4,4,-0.1635756,0.9165769,0.3810608,-0.1631253,0.9165524,0.3815831,0.002905224,-0.4345753,-0.06941541,0.8979518,0.0178276,0.1919765,0.02919436,0.9808032,1655116540801,1655116405127
5,5,-0.1627953,0.9162807,0.3818526,-0.1626906,0.9164351,0.3820603,0.002413026,-0.4312204,-0.06969191,0.8995478,0.01766233,0.1901589,0.02904123,0.9811648,1655116540856,1655116405178
6,6,-0.1612315,0.9159073,0.3835759,-0.1618687,0.9162307,0.382999,0.001360837,-0.4253897,-0.07044501,0.9022634,0.01735453,0.1865199,0.02869344,0.9818788,1655116540912,1655116405227
7,7,-0.159788,0.9157195,0.3850161,-0.1605295,0.9159686,0.3844197,0.0010343,-0.4198235,-0.07092666,0.9048296,0.01707768,0.1810087,0.02824816,0.9829274,1655116540954,1655116405279
8,8,-0.1577518,0.9154001,0.3871275,-0.158848,0.9157087,0.3862132,-0.0001007265,-0.4128542,-0.07190094,0.9079547,0.01677548,0.1740086,0.02757925,0.9842149,1655116541009,1655116405328
9,9,-0.1555297,0.915046,0.3892924,-0.156971,0.9153906,0.3882803,-0.0009159413,-0.4048278,-0.07252079,0.9115121,0.01629762,0.1665579,0.02692848,0.9855292,1655116541064,1655116405380
10,10,-0.1541179,0.9146876,0.3908809,-0.1551003,0.9149926,0.3903672,-0.002732729,-0.3963176,-0.07222157,0.9152644,0.01581869,0.1588012,0.02628171,0.9868339,1655116541107,1655116405429
11,11,-0.1524449,0.914232,0.3927706,-0.1532007,0.914615,0.3924947,-0.003647379,-0.3888372,-0.07339544,0.9183711,0.01522149,0.150936,0.02564296,0.9880937,1655116541162,1655116405480
12,12,-0.1510905,0.9139048,0.394475,-0.1514282,0.9142572,0.39456,-0.004972224,-0.3830078,-0.07404025,0.9207596,0.01468073,0.1431095,0.02499297,0.9892824,1655116541204,1655116405529
13,13,-0.1490492,0.9135118,0.3966086,-0.1496428,0.9138697,0.3966509,-0.00623028,-0.3754171,-0.07470194,0.9238197,0.01400508,0.1348756,0.02428287,0.990466,1655116541259,1655116405579
14,14,-0.1472084,0.9130671,0.3985984,-0.1477619,0.9134923,0.3988038,-0.007690079,-0.3667977,-0.07535947,0.9272116,0.01354717,0.1273243,0.02354416,0.9914891,1655116541315,1655116405631
15,15,-0.1457805,0.912758,0.3999847,-0.1458632,0.9131438,0.4008362,-0.008144429,-0.3601244,-0.07553744,0.9298055,0.01320314,0.119372,0.02291638,0.9924973,1655116541357,1655116405682
16,16,-0.1438571,0.9122785,0.4022907,-0.1440077,0.9127764,0.4029703,-0.009834854,-0.3522104,-0.07663567,0.9327261,0.01260729,0.1111618,0.02223581,0.9934735,1655116541412,1655116405733
17,17,-0.1420265,0.9120728,0.4042701,-0.1421932,0.9123894,0.4051335,-0.0099255,-0.3459481,-0.07797914,0.9349549,0.01197208,0.1030911,0.02150258,0.9943674,1655116541468,1655116405784
18,18,-0.1407825,0.9116654,0.4058962,-0.1402577,0.9120324,0.4073459,-0.01173077,-0.3392559,-0.0784473,0.937344,0.01147828,0.09526294,0.02079719,0.9951687,1655116541509,1655116405837
19,19,-0.1386922,0.9112827,0.4080184,-0.1384538,0.9116345,0.4094113,-0.01352365,-0.3286046,-0.07793693,0.9411493,0.01095876,0.08723116,0.02014479,0.9959242,1655116541564,1655116405887
20,20,-0.1368934,0.9108836,0.4102983,-0.1365575,0.9112567,0.4115166,-0.0142502,-0.3214601,-0.07904212,0.9435108,0.01050897,0.07944101,0.0194312,0.9965948,1655116541620,1655116405937
21,21,-0.1356398,0.9105507,0.4118339,-0.134718,0.9108992,0.4136351,-0.01496032,-0.3149246,-0.07969192,0.9456468,0.009992912,0.07114816,0.01874861,0.9972395,1655116541662,1655116405988
22,22,-0.1336783,0.9099712,0.4141633,-0.1328941,0.9105419,0.4157695,-0.01629882,-0.3069538,-0.08009693,0.9482079,0.00952217,0.06334877,0.01805237,0.9977828,1655116541718,1655116406039
23,23,-0.1318006,0.9096238,0.4165514,-0.1310285,0.910165,0.4179701,-0.01749892,-0.2993025,-0.08107121,0.9505469,0.009027749,0.05529748,0.01740915,0.9982773,1655116541773,1655116406090
24,24,-0.1306169,0.9093326,0.4179596,-0.12914,0.9098186,0.4202302,-0.01864114,-0.2914493,-0.08107593,0.952962,0.008449897,0.04709058,0.01669189,0.9987154,1655116541814,1655116406141
25,25,-0.1287131,0.9087223,0.4202992,-0.1272491,0.9094019,0.4224498,-0.01984241,-0.283602,-0.08175385,0.9552448,0.007928923,0.03863059,0.01595347,0.9990948,1655116541870,1655116406195
26,26,-0.1267324,0.9084267,0.4226101,-0.1254252,0.9090446,0.4245842,-0.02065575,-0.2758791,-0.08269484,0.9574057,0.007387802,0.03071766,0.01522912,0.9993848,1655116541926,1655116406243
27,27,-0.1254789,0.9080414,0.4243899,-0.1236071,0.9086878,0.4267693,-0.02149506,-0.2702988,-0.08346133,0.9589112,0.006882995,0.02280399,0.01453072,0.9996107,1655116541967,1655116406295
28,28,-0.1236309,0.907477,0.4269159,-0.1217632,0.9083314,0.4290047,-0.02347592,-0.2593869,-0.0831942,0.9618971,0.006276578,0.0146381,0.01380776,0.9997779,1655116542023,1655116406345
29,29,-0.1217829,0.907018,0.4294667,-0.1198744,0.9079553,0.4312967,-0.02418716,-0.2514785,-0.08437693,0.9638745,0.005725667,0.006171346,0.01306199,0.9998794,1655116542078,1655116406399
30,30,-0.1201058,0.9064572,0.4317941,-0.1180217,0.9075883,0.433472,-0.02537256,-0.2430694,-0.08471879,0.9659691,0.005284801,-0.001842842,0.01242208,0.9999073,1655116542134,1655116406448
31,31,-0.1188525,0.9058796,0.4337995,-0.1162565,0.9071826,0.4357562,-0.0266435,-0.2365209,-0.08559822,0.9674817,0.004593894,-0.01001209,0.01155728,0.9998726,1655116542176,1655116406500
32,32,-0.1168777,0.9054497,0.4362682,-0.1143931,0.9067568,0.4380616,-0.02775532,-0.2273037,-0.08583802,0.9696363,0.003962532,-0.01877709,0.0108268,0.9997573,1655116542231,1655116406551
33,33,-0.115128,0.9049315,0.4385831,-0.112495,0.9064304,0.4403245,-0.02915308,-0.2189809,-0.08716778,0.9713904,0.003467798,-0.02663992,0.01010519,0.9995881,1655116542287,1655116406603
34,34,-0.1135363,0.9045422,0.4404716,-0.1105526,0.9060641,0.4426128,-0.03012787,-0.212,-0.08625359,0.9729896,0.003036141,-0.03504765,0.009513989,0.9993358,1655116542328,1655116406654
35,35,-0.1117352,0.9041758,0.4429615,-0.1087335,0.9056882,0.4448929,-0.03155594,-0.2032075,-0.08724355,0.9747305,0.00245297,-0.0432573,0.008685499,0.9990233,1655116542384,1655116406706
36,36,-0.1099859,0.9037676,0.4451767,-0.1068797,0.905342,0.4471629,-0.03233293,-0.1948411,-0.0880285,0.9763414,0.001893714,-0.05166169,0.007928029,0.9986314,1655116542439,1655116406755
37,37,-0.1086103,0.9032502,0.4469813,-0.1050576,0.904966,0.4494335,-0.03315873,-0.1891124,-0.08920468,0.9773329,0.001367316,-0.05966209,0.00719355,0.9981918,1655116542481,1655116406806
38,38,-0.1065524,0.9028454,0.4493662,-0.1032169,0.9045697,0.4516788,-0.03460369,-0.1786136,-0.08892358,0.9792815,0.000855118,-0.06785566,0.006576926,0.9976732,1655116542537,1655116406856
39,39,-0.1047271,0.9024909,0.4514874,-0.101286,0.9041944,0.4540684,-0.03564623,-0.1704088,-0.08965579,0.9806386,0.0003199279,-0.07614607,0.005811706,0.9970797,1655116542592,1655116406907
40,40,-0.1031103,0.9022125,0.4529448,-0.09946956,0.9038489,0.4563893,-0.03666201,-0.1637331,-0.09025455,0.981683,-0.0001902431,-0.08447914,0.005115822,0.9964122,1655116542634,1655116406958
41,41,-0.1009859,0.9018627,0.4549511,-0.09757382,0.9034535,0.4587574,-0.03798497,-0.1540869,-0.09039267,0.9831803,-0.0007870793,-0.0930064,0.004309788,0.9956559,1655116542689,1655116407008
42,42,-0.09910109,0.9016869,0.4568043,-0.09576748,0.9030477,0.4610442,-0.03889249,-0.143531,-0.09066384,0.9847164,-0.001361087,-0.1010275,0.003572926,0.9948763,1655116542745,1655116407058
43,43,-0.09748307,0.9014087,0.4583745,-0.09393138,0.9026927,0.4634347,-0.03997961,-0.137619,-0.09116711,0.9854701,-0.001896992,-0.1092895,0.00285621,0.9940041,1655116542787,1655116407109
44,44,-0.09546275,0.9012654,0.4604554,-0.09202258,0.9023275,0.4658276,-0.04103747,-0.1278205,-0.09124231,0.9867384,-0.002425268,-0.1177921,0.00205107,0.9930332,1655116542843,1655116407161
