Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,-0.04401962,0.9184638,0.5414249,-0.04339775,0.9194738,0.5407783,0.009470792,0.3638811,0.05762679,-0.9296129,0.00967887,0.2659582,0.02546844,0.9635994,1654789559410,1654789430756
1,1,-0.04400479,0.9185193,0.5413544,-0.04339775,0.9194738,0.5407783,0.0094954,0.363898,0.05762275,-0.9296062,0.00967887,0.2659582,0.02546844,0.9635994,1654789559436,1654789430792
2,2,-0.04390563,0.9184669,0.5415304,-0.04339775,0.9194738,0.5407783,0.009594401,0.3640415,0.05756582,-0.9295526,0.009680137,0.26591,0.02546787,0.9636128,1654789559492,1654789430842
3,3,-0.0437979,0.9184143,0.5417059,-0.04334174,0.9194746,0.5408078,0.009777864,0.3639109,0.05751984,-0.9296046,0.009686545,0.265669,0.02546546,0.9636793,1654789559546,1654789430894
4,4,-0.04352957,0.9184118,0.5418172,-0.04312098,0.9194485,0.5409459,0.01011267,0.3629388,0.05771457,-0.929969,0.009615913,0.2648966,0.02541623,0.9638939,1654789559602,1654789430945
5,5,-0.04270191,0.9182667,0.5422874,-0.04259999,0.9193223,0.5414199,0.01046016,0.3598111,0.05795651,-0.9311646,0.009416863,0.2628659,0.02522674,0.9644566,1654789559644,1654789430996
6,6,-0.04069662,0.9180861,0.5437068,-0.04157135,0.9191665,0.5422615,0.0116703,0.3526906,0.05845363,-0.9338396,0.009079635,0.2590936,0.02493966,0.9654875,1654789559699,1654789431045
7,7,-0.03897171,0.9178581,0.5449464,-0.03992634,0.9189536,0.5435499,0.01244396,0.3470058,0.05854659,-0.9359511,0.008809909,0.2533814,0.0245924,0.9670137,1654789559741,1654789431097
8,8,-0.03679904,0.917325,0.5467952,-0.03792039,0.9186885,0.5451116,0.01366412,0.33844,0.05905017,-0.9390339,0.008346394,0.2466329,0.02398354,0.9687762,1654789559796,1654789431146
9,9,-0.03432157,0.9168391,0.548729,-0.03571329,0.9183592,0.5468704,0.01441012,0.3313484,0.06042572,-0.9414613,0.007815525,0.2388081,0.02344611,0.9707523,1654789559852,1654789431197
10,10,-0.03264558,0.9165102,0.550142,-0.0336506,0.9180126,0.5487075,0.01616719,0.3235213,0.06012929,-0.9441701,0.007204324,0.2312607,0.02294782,0.9725946,1654789559894,1654789431248
11,11,-0.03054946,0.9161223,0.5516542,-0.03149422,0.9176853,0.5505288,0.01697125,0.3167086,0.0611583,-0.946397,0.006606907,0.2235995,0.02241358,0.9744011,1654789559950,1654789431299
12,12,-0.02824196,0.9156236,0.5534042,-0.02937248,0.9173569,0.5523141,0.01935763,0.3073955,0.0613661,-0.9494038,0.0059596,0.2157284,0.0218704,0.9761903,1654789560005,1654789431349
13,13,-0.02546065,0.915153,0.5556748,-0.02591698,0.9168218,0.5552458,0.02039592,0.2985168,0.06286143,-0.9521135,0.004963011,0.2031797,0.02093107,0.9789051,1654789560075,1654789431431
14,14,-0.02294896,0.9145106,0.5578985,-0.0234609,0.9164686,0.5572181,0.02215018,0.287502,0.06330912,-0.9554287,0.004505023,0.1943869,0.02032647,0.980704,1654789560144,1654789431488
15,15,-0.02018548,0.9139666,0.5603204,-0.02037579,0.9159594,0.5599973,0.02381741,0.2777727,0.06409544,-0.9582102,0.003435001,0.1827182,0.01948395,0.9829663,1654789560214,1654789431563
16,16,-0.01807896,0.9135485,0.5620616,-0.01812733,0.9156518,0.5618127,0.02488803,0.2687685,0.06461305,-0.9607129,0.002920017,0.174729,0.01895615,0.9844298,1654789560270,1654789431613
17,17,-0.01646174,0.9131626,0.563417,-0.01589686,0.9153057,0.5636771,0.02602329,0.2624646,0.06482891,-0.9624096,0.002275467,0.1664778,0.01834187,0.985872,1654789560312,1654789431665
18,18,-0.01407564,0.9127334,0.5654012,-0.01385712,0.9149496,0.5655311,0.02790178,0.253486,0.06505678,-0.9647456,0.001689434,0.1588107,0.01781943,0.9871469,1654789560368,1654789431716
19,19,-0.01195913,0.9123537,0.5670444,-0.01172873,0.9146319,0.5673375,0.0287869,0.2455019,0.06612474,-0.9667097,0.001174688,0.1510819,0.01722744,0.9883704,1654789560423,1654789431767
20,20,-0.01042915,0.9120353,0.5682691,-0.009549275,0.914374,0.5691401,0.02993604,0.2385992,0.06585213,-0.9684203,0.0007019639,0.1431471,0.01665941,0.9895611,1654789560465,1654789431816
21,21,-0.007969399,0.9115269,0.5699037,-0.007300518,0.9139802,0.57108,0.03111251,0.2301414,0.06650542,-0.9703835,8.560717E-05,0.1346562,0.0160563,0.9907624,1654789560521,1654789431869
22,22,-0.005845293,0.9112374,0.5711022,-0.005208232,0.9136237,0.5729222,0.03261529,0.2213925,0.06689663,-0.9723407,-0.0005061477,0.1269993,0.01547858,0.9917819,1654789560576,1654789431919
23,23,-0.004212565,0.9109113,0.5722883,-0.003095932,0.9132991,0.5748275,0.03339993,0.2156377,0.06773772,-0.9735484,-0.001117006,0.119089,0.01495919,0.9927703,1654789560618,1654789431970
24,24,-0.001665739,0.9105027,0.5737939,-0.0009902976,0.9129738,0.5767114,0.03465494,0.2074568,0.06901616,-0.975191,-0.001706943,0.111019,0.01435459,0.9937131,1654789560745,1654789432021
25,25,-0.0003695206,0.9103863,0.575098,0.002561241,0.9125034,0.5797986,0.0355591,0.2013603,0.06852432,-0.9764702,-0.002656639,0.09790379,0.01340249,0.9951022,1654789560756,1654789432103
26,26,0.004875311,0.9093572,0.5788991,0.004612703,0.9121689,0.5817044,0.03868689,0.1816482,0.07016595,-0.9800939,-0.003358275,0.08996361,0.01275188,0.9958578,1654789560811,1654789432153
27,27,0.006465586,0.9092696,0.5799125,0.006738052,0.9118137,0.5835925,0.03926148,0.1773222,0.0704524,-0.9808425,-0.003932104,0.08162296,0.01219937,0.9965808,1654789560852,1654789432204
28,28,0.008722293,0.9089662,0.5813134,0.00894909,0.9115194,0.585513,0.04051277,0.1669251,0.07018269,-0.9826338,-0.004424453,0.07382697,0.0116781,0.9971929,1654789560908,1654789432256
29,29,0.01034529,0.9085686,0.5828235,0.01108618,0.9111758,0.5874534,0.04170519,0.1606759,0.07041322,-0.9836086,-0.005056113,0.06567442,0.01108459,0.9977667,1654789560963,1654789432305
30,30,0.01211993,0.9083274,0.5841633,0.01319036,0.9108227,0.5894089,0.04317637,0.1536976,0.07049923,-0.9846536,-0.005650014,0.0576185,0.01051241,0.9982674,1654789561004,1654789432357
31,31,0.01418104,0.908079,0.5857687,0.01537342,0.9105281,0.5913147,0.04396003,0.1443506,0.07123931,-0.9859794,-0.006145105,0.04955928,0.009922594,0.998703,1654789561060,1654789432406
32,32,0.01636359,0.9075294,0.5876932,0.01747762,0.910175,0.5932703,0.04504187,0.1369298,0.0723286,-0.9869093,-0.006793708,0.04114617,0.009313673,0.9990867,1654789561115,1654789432456
33,33,0.01808684,0.9072933,0.5892103,0.01963444,0.9098415,0.5952135,0.04623459,0.1303636,0.07260524,-0.9877227,-0.007359266,0.03323177,0.008731872,0.9993825,1654789561157,1654789432508
34,34,0.0202425,0.906904,0.5912671,0.02175704,0.9095207,0.597242,0.0473149,0.1213824,0.07283651,-0.9887985,-0.00806199,0.02516195,0.008034796,0.9996186,1654789561213,1654789432558
35,35,0.021776,0.9065247,0.5925504,0.0239371,0.9092185,0.5992287,0.04874578,0.1140487,0.0728896,-0.9895979,-0.00863719,0.01704416,0.007425815,0.9997899,1654789561254,1654789432608
36,36,0.02427128,0.906169,0.5944623,0.0260611,0.9088956,0.6011865,0.0497806,0.1043182,0.07277605,-0.9906277,-0.009237498,0.008628473,0.006928027,0.9998962,1654789561311,1654789432658
37,37,0.02637675,0.9058147,0.5961561,0.0282659,0.9085744,0.6032081,0.05091561,0.09533342,0.07311838,-0.9914499,-0.009822488,0.0001594871,0.006293356,0.999932,1654789561366,1654789432709
38,38,0.02778948,0.9053254,0.5983668,0.03047071,0.9082633,0.6052295,0.05165064,0.08844582,0.07372086,-0.9920055,-0.01033016,-0.007856816,0.005729005,0.9998994,1654789561408,1654789432760
39,39,0.03008717,0.9048567,0.6010524,0.03270026,0.9079231,0.6072862,0.05267762,0.07978377,0.07407106,-0.9926596,-0.01093625,-0.01642336,0.005115375,0.9997923,1654789561463,1654789432811
40,40,0.03215567,0.9043601,0.603274,0.03490525,0.9075739,0.6093695,0.05391119,0.07033069,0.07429244,-0.9932914,-0.0115476,-0.02478893,0.004460692,0.9996161,1654789561520,1654789432863
41,41,0.03366615,0.9040366,0.6045721,0.03721718,0.9072353,0.6114801,0.0549265,0.062613,0.07441317,-0.9937431,-0.01222569,-0.03340092,0.003862798,0.9993598,1654789561561,1654789432914
42,42,0.03599624,0.9035418,0.6069291,0.03924616,0.9069152,0.6135238,0.05548151,0.05525922,0.07621879,-0.9940115,-0.01281087,-0.04161006,0.003234118,0.9990466,1654789561617,1654789432966
43,43,0.03754584,0.9032393,0.6086981,0.04152677,0.9066349,0.6155767,0.05686926,0.04815085,0.07616299,-0.9943071,-0.01330738,-0.04996485,0.002628416,0.9986589,1654789561659,1654789433015
44,44,0.03972503,0.9027149,0.6106758,0.04382708,0.9063246,0.6176339,0.05816714,0.03895586,0.07622397,-0.99463,-0.01387461,-0.05846334,0.002127692,0.9981909,1654789561715,1654789433067
45,45,0.04165923,0.9021685,0.6127548,0.04589846,0.9059721,0.6196043,0.05958308,0.03101898,0.07608359,-0.9948362,-0.01449201,-0.06665935,0.001528174,0.9976695,1654789561771,1654789433118
46,46,0.04238491,0.9020234,0.6137628,0.04758115,0.9056932,0.6213471,0.05999344,0.02809115,0.07662479,-0.994857,-0.01497717,-0.07270469,0.000969559,0.9972407,1654789561812,1654789433170
47,47,0.04267567,0.9018095,0.6144934,0.04870474,0.9055082,0.6225395,0.06076993,0.02560422,0.0765449,-0.9948831,-0.01538326,-0.07704966,0.0005484372,0.9969085,1654789561869,1654789433221
48,48,0.04280734,0.9017491,0.614644,0.04939377,0.9054044,0.623101,0.06093388,0.0248042,0.07664447,-0.9948856,-0.01547343,-0.07944359,0.0004775673,0.9967192,1654789561924,1654789433271
49,49,0.04281804,0.9017055,0.6148422,0.04959663,0.9053799,0.6232868,0.06105445,0.02431218,0.07665382,-0.9948897,-0.01551867,-0.08039121,0.0004384071,0.9966425,1654789561966,1654789433322
50,50,0.04273549,0.9016504,0.6151833,0.04959841,0.9053615,0.6233385,0.06104232,0.02398794,0.07671193,-0.9948938,-0.01556434,-0.08059137,0.0003876388,0.9966257,1654789562022,1654789433372
51,51,0.04277104,0.9016433,0.6150905,0.04958694,0.9053618,0.6233467,0.06098448,0.02383772,0.07675355,-0.9948978,0.01555708,0.08069098,-0.0003898144,-0.9966177,1654789562078,1654789433424
52,52,0.04278497,0.9016397,0.6150718,0.04959519,0.9053621,0.6233581,0.06095363,0.02379682,0.07675038,-0.9949009,0.01555309,0.08064196,-0.0003391206,-0.9966217,1654789562120,1654789433474
53,53,0.04286651,0.9016395,0.6152388,0.04960507,0.9053621,0.6233598,0.06085275,0.02366143,0.07676417,-0.9949092,0.01555309,0.08064196,-0.0003391206,-0.9966217,1654789562175,1654789433516
54,54,0.04292335,0.9016533,0.6151509,0.04960507,0.9053621,0.6233598,0.06088167,0.02367709,0.07678799,-0.9949053,0.01555309,0.08064196,-0.0003391206,-0.9966217,1654789562217,1654789433568
