Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.002047085,0.9181812,0.5893369,0.002374254,0.9182009,0.5890228,0.009877974,0.3580743,0.06260455,-0.9315395,0.01638222,0.2780161,0.02927843,0.9599903,1654786554619,1654786425411
1,1,0.002045933,0.9181829,0.5893067,0.002375582,0.9182107,0.5890126,0.009846815,0.3581252,0.06258763,-0.9315214,0.01642786,0.2780168,0.02929857,0.9599888,1654786554660,1654786425451
2,2,0.002009799,0.9182085,0.5893018,0.002375582,0.9182107,0.5890126,0.009866536,0.3581495,0.06254274,-0.9315149,0.01642786,0.2780168,0.02929857,0.9599888,1654786554700,1654786425498
3,3,0.001954451,0.918225,0.5893099,0.002367035,0.9182106,0.5890014,0.009913723,0.3582029,0.0625833,-0.9314911,0.01642786,0.2780168,0.02929857,0.9599888,1654786554756,1654786425548
4,4,0.00193253,0.91825,0.5893521,0.002367035,0.9182106,0.5890014,0.009884258,0.35821,0.06253743,-0.9314919,0.01642786,0.2780168,0.02929857,0.9599888,1654786554798,1654786425598
5,5,0.001974645,0.9182866,0.5893698,0.002385488,0.9182108,0.589014,0.009908745,0.3580559,0.06243362,-0.9315578,0.01638955,0.2777761,0.02927431,0.9600599,1654786554853,1654786425650
6,6,0.002258001,0.9182052,0.5895999,0.002574174,0.918203,0.5891106,0.01010255,0.3571965,0.06260827,-0.9318739,0.01636292,0.2771513,0.02924353,0.9602418,1654786554909,1654786425701
7,7,0.002844646,0.9178988,0.5902091,0.003032868,0.9180425,0.5896001,0.01088303,0.3545644,0.06285425,-0.9328532,0.01605229,0.2753216,0.02905163,0.9607791,1654786554950,1654786425752
8,8,0.004580397,0.9177364,0.5912294,0.00408418,0.917868,0.5903324,0.01152153,0.349476,0.0634397,-0.9347242,0.01592614,0.2717094,0.02878025,0.9618171,1654786555006,1654786425803
9,9,0.006909928,0.9174856,0.5930514,0.005675291,0.9176918,0.5914719,0.0130348,0.3410943,0.06352557,-0.9377896,0.01561961,0.2663569,0.02838346,0.9633299,1654786555062,1654786425852
10,10,0.008612972,0.9171851,0.5943227,0.007697904,0.9174147,0.5930759,0.0134968,0.3362316,0.0649016,-0.9394434,0.01511467,0.259493,0.02775905,0.9652277,1654786555103,1654786425905
11,11,0.01115605,0.9167123,0.5960978,0.009877693,0.9171286,0.5947117,0.01599307,0.3265384,0.06438096,-0.9428531,0.01457606,0.2521837,0.02722904,0.9671865,1654786555160,1654786425953
12,12,0.01353879,0.91629,0.5979714,0.01211092,0.9167348,0.5964777,0.01733503,0.3182228,0.06490118,-0.9456329,0.01401451,0.2444213,0.02663752,0.9692019,1654786555215,1654786426004
13,13,0.01506004,0.9160159,0.5991874,0.01429758,0.9163816,0.5982872,0.01870594,0.3121406,0.06574982,-0.9475734,0.01339929,0.2365935,0.02603781,0.9711673,1654786555256,1654786426055
14,14,0.0172067,0.9154816,0.6009212,0.01643122,0.9160161,0.5999683,0.02062206,0.3046351,0.0663664,-0.9499304,0.01289171,0.2285552,0.02543628,0.9731132,1654786555312,1654786426105
15,15,0.01947813,0.9151207,0.6027246,0.01859362,0.9156521,0.6017343,0.02175755,0.2966951,0.06698047,-0.952372,0.01230085,0.220892,0.02487907,0.9749033,1654786555368,1654786426156
16,16,0.02103619,0.9148141,0.6038513,0.02083923,0.915338,0.6034805,0.02280214,0.2904155,0.06787708,-0.9542179,0.01173386,0.2133093,0.02424002,0.9766135,1654786555409,1654786426207
17,17,0.023017,0.9143419,0.6055182,0.0230164,0.9150223,0.6051365,0.02405772,0.2821358,0.0685416,-0.9566205,0.01136553,0.2056172,0.02363017,0.9782811,1654786555465,1654786426257
18,18,0.02539277,0.9139202,0.607542,0.02516304,0.9146677,0.6068698,0.02536643,0.2750621,0.06914499,-0.9586013,0.01072271,0.1977648,0.02303842,0.97992,1654786555522,1654786426308
19,19,0.02701835,0.9135845,0.608849,0.02744068,0.914306,0.6087524,0.02655411,0.2686974,0.06959024,-0.9603404,0.01009065,0.1897508,0.02240959,0.9815247,1654786555564,1654786426360
