Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.1776127,0.9175781,0.4092345,0.1763472,0.9179531,0.40763,-0.01711026,-0.2790293,-0.06656314,0.9578201,-0.03379609,-0.3581273,-0.02900779,-0.93261,1655114821841,1655114686408
1,1,0.1776581,0.9175536,0.4093003,0.1763472,0.9179531,0.40763,-0.01710972,-0.2790614,-0.06656351,0.9578107,-0.03379609,-0.3581273,-0.02900779,-0.93261,1655114821868,1655114686444
2,2,0.1775922,0.9176319,0.4092545,0.1763472,0.9179531,0.40763,-0.01715579,-0.2790757,-0.06654719,0.9578068,-0.03379609,-0.3581273,-0.02900779,-0.93261,1655114821922,1655114686497
3,3,0.1775643,0.9176919,0.4092277,0.1763472,0.9179531,0.40763,-0.01714912,-0.2790516,-0.06655293,0.9578136,-0.03379609,-0.3581273,-0.02900779,-0.93261,1655114821977,1655114686546
4,4,0.1775399,0.9176902,0.4092447,0.1763472,0.9179531,0.40763,-0.01711514,-0.2790473,-0.0665393,0.9578164,-0.03379609,-0.3581273,-0.02900779,-0.93261,1655114822033,1655114686597
5,5,0.1775376,0.9176927,0.4092364,0.1763975,0.9179529,0.4076383,-0.01715936,-0.2787771,-0.06655788,0.957893,-0.03380333,-0.3578939,-0.02899939,-0.9326995,1655114822075,1655114686649
6,6,0.1777318,0.9175695,0.4094658,0.1765824,0.9178806,0.4077812,-0.01744981,-0.2780102,-0.0666904,0.9581013,-0.03368191,-0.3572409,-0.02892709,-0.9329565,1655114822130,1655114686700
7,7,0.1787155,0.9173601,0.4098119,0.1771444,0.9177247,0.4081302,-0.01794197,-0.2741978,-0.0671004,0.9591617,-0.03339258,-0.3553752,-0.02879411,-0.9336833,1655114822186,1655114686751
8,8,0.1804117,0.9171526,0.4104977,0.1782937,0.9175146,0.4086885,-0.01916242,-0.2685704,-0.06730708,0.9607146,-0.03320234,-0.3518221,-0.0284608,-0.9350449,1655114822228,1655114686799
9,9,0.182656,0.9168803,0.4117642,0.1801063,0.917268,0.4096238,-0.02028357,-0.261518,-0.06784184,0.9625977,-0.03284067,-0.3465298,-0.02794242,-0.9370475,1655114822282,1655114686851
10,10,0.1852298,0.916425,0.4132228,0.1824274,0.916967,0.4108012,-0.02124503,-0.2544649,-0.06928588,0.9643629,-0.03232779,-0.3397228,-0.02731568,-0.939573,1655114822338,1655114686901
11,11,0.187293,0.9161363,0.4141938,0.1847914,0.9165847,0.4120663,-0.02273767,-0.2472531,-0.0690305,0.9662213,-0.03176796,-0.3326147,-0.02667344,-0.9421501,1655114822380,1655114686950
12,12,0.1898556,0.9157205,0.4156458,0.1872489,0.9161309,0.4134371,-0.02431332,-0.2385558,-0.06968147,0.9683204,-0.03116159,-0.3251562,-0.02601552,-0.9447887,1655114822435,1655114687000
13,13,0.191608,0.915387,0.4165017,0.1897361,0.9157071,0.4147974,-0.02591881,-0.2306195,-0.06906266,0.9702439,-0.03050153,-0.3175818,-0.02535167,-0.947401,1655114822477,1655114687051
14,14,0.1942099,0.9148657,0.4179428,0.1921804,0.9153346,0.4160697,-0.02667,-0.2246224,-0.07063953,0.9715161,-0.02993895,-0.3101287,-0.02468413,-0.9499025,1655114822533,1655114687100
15,15,0.1969298,0.9143901,0.4195379,0.1946779,0.9149107,0.4174397,-0.02855572,-0.2150564,-0.07064835,0.9736242,-0.02933167,-0.3021793,-0.02399904,-0.9524975,1655114822589,1655114687153
16,16,0.1987111,0.9141068,0.4203915,0.1971342,0.9145474,0.4187718,-0.02972053,-0.2080066,-0.07086846,0.9751039,-0.02876356,-0.2947331,-0.02330628,-0.9548623,1655114822630,1655114687202
17,17,0.2011393,0.9135891,0.4217239,0.1995502,0.9141442,0.4200948,-0.03140314,-0.2001884,-0.07203209,0.9766012,-0.02817512,-0.2872214,-0.02267072,-0.9571814,1655114822685,1655114687252
18,18,0.2039041,0.9130637,0.4231619,0.2019984,0.9137002,0.4214861,-0.03261263,-0.1926652,-0.07285904,0.9780123,-0.02745301,-0.2793543,-0.02195096,-0.9595445,1655114822741,1655114687303
19,19,0.2063427,0.9127542,0.4244161,0.2045583,0.9132952,0.4229242,-0.0342217,-0.1833759,-0.07279418,0.9797465,-0.0268161,-0.2715647,-0.02127099,-0.9618114,1655114822796,1655114687355
20,20,0.2081372,0.9122176,0.4256266,0.2069753,0.9129017,0.4242772,-0.03518941,-0.1781159,-0.07396371,0.9805946,-0.02616471,-0.2639977,-0.02060935,-0.9639481,1655114822838,1655114687405
21,21,0.2108415,0.9115502,0.4270488,0.2094025,0.9124681,0.4256394,-0.03674565,-0.1696346,-0.07404739,0.9820341,-0.02555743,-0.2562214,-0.01996526,-0.966074,1655114822894,1655114687456
22,22,0.2132224,0.9110858,0.4282077,0.2118394,0.9120545,0.4269916,-0.03846128,-0.1601886,-0.07411836,0.9835481,-0.02495804,-0.248669,-0.01924089,-0.9680758,1655114822949,1655114687505
23,23,0.2150289,0.9106055,0.4292863,0.2144077,0.9116902,0.4283799,-0.03936268,-0.1534076,-0.07424773,0.9845831,-0.02440442,-0.2407621,-0.01852897,-0.9701004,1655114822991,1655114687557
24,24,0.2176304,0.9097574,0.4309944,0.2168553,0.9112564,0.4297513,-0.04126627,-0.144306,-0.07467122,0.9858484,-0.0238301,-0.2328882,-0.01787752,-0.9720472,1655114823046,1655114687607
25,25,0.2202223,0.9093009,0.4323159,0.2194374,0.9107605,0.4312575,-0.04243316,-0.1372327,-0.07607993,0.9867008,-0.02310455,-0.2247058,-0.01720089,-0.9740009,1655114823101,1655114687657
26,26,0.2218026,0.9090201,0.4332642,0.2217741,0.9103773,0.4326035,-0.04359343,-0.1285458,-0.07571677,0.9878474,-0.0224631,-0.2173369,-0.01652604,-0.9756984,1655114823144,1655114687706
27,27,0.224386,0.9085996,0.4349616,0.2242427,0.909973,0.4340047,-0.04487018,-0.120579,-0.07632115,0.988748,-0.02193414,-0.2090761,-0.01581055,-0.9775257,1655114823199,1655114687757
28,28,0.2264082,0.9085444,0.4357618,0.2266708,0.9095991,0.4353876,-0.04595804,-0.114161,-0.07676688,0.9894251,-0.02128321,-0.2016322,-0.01510659,-0.9791136,1655114823241,1655114687806
29,29,0.2288156,0.9083266,0.4365834,0.2291415,0.909224,0.4368492,-0.04772845,-0.1039767,-0.07652926,0.9904817,-0.02062947,-0.1937352,-0.01440409,-0.9807312,1655114823297,1655114687857
30,30,0.2312911,0.9080091,0.4380557,0.2315413,0.9088495,0.4382831,-0.04881578,-0.09672321,-0.07817668,0.9910349,-0.01996514,-0.185875,-0.01371419,-0.9822749,1655114823352,1655114687907
31,31,0.2333232,0.9077886,0.4388554,0.2340306,0.908435,0.4397035,-0.05029179,-0.08868855,-0.07702475,0.9918026,-0.01930469,-0.1775105,-0.01297662,-0.983844,1655114823394,1655114687956
32,32,0.2357205,0.9076045,0.4396849,0.2365815,0.9080197,0.4411718,-0.05118412,-0.08204181,-0.07874928,0.9921935,-0.01877207,-0.1699229,-0.01228672,-0.985202,1655114823449,1655114688008
33,33,0.2380945,0.9071987,0.4407564,0.2390322,0.9076047,0.4426335,-0.05297748,-0.07377597,-0.07972401,0.9926705,-0.01808704,-0.1618311,-0.01157743,-0.9865848,1655114823505,1655114688057
34,34,0.2401271,0.9070639,0.4416435,0.2415032,0.9071895,0.4441045,-0.05401919,-0.06682421,-0.07964893,0.9931126,-0.01748385,-0.1538283,-0.01094359,-0.9878824,1655114823547,1655114688108
35,35,0.2422794,0.9067988,0.442993,0.243994,0.9068044,0.4455652,-0.05554942,-0.05750232,-0.08010701,0.9935747,-0.01683208,-0.1459137,-0.01021704,-0.9891014,1655114823602,1655114688156
36,36,0.244731,0.9062418,0.4444944,0.246417,0.9063686,0.4470976,-0.05727683,-0.04630992,-0.07930332,0.9941256,-0.01602967,-0.1375932,-0.009429902,-0.9903144,1655114823657,1655114688207
37,37,0.2468179,0.9059573,0.4454925,0.2488686,0.9059333,0.4485891,-0.05848971,-0.03982189,-0.07976239,0.9942994,-0.01540984,-0.1297602,-0.008683771,-0.9913877,1655114823699,1655114688258
38,38,0.2494009,0.9056507,0.4467393,0.2514983,0.9055483,0.450015,-0.05955875,-0.0305646,-0.07980153,0.9945604,-0.01491761,-0.1216723,-0.008106917,-0.9924252,1655114823754,1655114688308
39,39,0.2511598,0.9052631,0.4480269,0.253981,0.9051524,0.4515359,-0.06082866,-0.02465134,-0.08065052,0.9945791,-0.0142343,-0.1134762,-0.007322013,-0.9934118,1655114823796,1655114688357
40,40,0.2538639,0.9048808,0.4497293,0.2564635,0.9047667,0.4530469,-0.0620812,-0.01530628,-0.08064734,0.9946898,-0.0135861,-0.1051735,-0.006601036,-0.9943392,1655114823852,1655114688408
41,41,0.2563404,0.9044223,0.4513349,0.2590613,0.9043487,0.4547137,-0.06294423,-0.007484395,-0.08214532,0.9946025,-0.0128336,-0.09681401,-0.005784661,-0.995203,1655114823908,1655114688460
42,42,0.2581774,0.9039443,0.4528264,0.2615743,0.9039227,0.4562432,-0.06439687,-0.0005209623,-0.08209366,0.9945418,-0.01215829,-0.08879721,-0.00514099,-0.9959623,1655114823949,1655114688510
43,43,0.2608099,0.9035317,0.4551161,0.2640777,0.9035266,0.4577834,-0.06536937,0.008085086,-0.08282367,0.9943851,-0.01152986,-0.08037676,-0.004406303,-0.9966882,1655114824005,1655114688558
44,44,0.263346,0.9030092,0.4570047,0.2666218,0.9031201,0.4593421,-0.0670054,0.01791858,-0.082825,0.9941475,-0.0108887,-0.07225032,-0.003686011,-0.9973204,1655114824060,1655114688609
45,45,0.2650661,0.9025823,0.4581359,0.2691974,0.9026629,0.460949,-0.0679905,0.02528256,-0.08278614,0.9939238,-0.01014,-0.06352098,-0.002917349,-0.9979247,1655114824102,1655114688658
46,46,0.2676879,0.9021526,0.4598686,0.2717025,0.9022362,0.4625388,-0.06937901,0.03502652,-0.08323772,0.9934945,-0.009477571,-0.05538668,-0.002169937,-0.9984177,1655114824158,1655114688710
47,47,0.2703198,0.9017901,0.4619161,0.2743566,0.9018595,0.4640941,-0.0708266,0.04436255,-0.08270802,0.9930634,-0.008853868,-0.04694986,-0.001431614,-0.998857,1655114824213,1655114688760
48,48,0.2719916,0.9013912,0.4630823,0.276933,0.901452,0.4657217,-0.0720369,0.05148466,-0.08341927,0.9925731,-0.008217961,-0.03865987,-0.0008051693,-0.9992184,1655114824254,1655114688811
49,49,0.2742445,0.9008893,0.46463,0.2792435,0.9010475,0.4671783,-0.07319384,0.05798884,-0.08383842,0.9920943,-0.007571816,-0.03096795,-9.408593E-05,-0.9994917,1655114824310,1655114688860
50,50,0.2756271,0.9006347,0.4656974,0.2812984,0.9007156,0.4684746,-0.07363773,0.06174834,-0.08445993,0.9917818,-0.007066399,-0.02457419,0.0005495846,-0.9996729,1655114824366,1655114688911
51,51,0.2757449,0.9004295,0.4660848,0.2825773,0.9005017,0.4693086,-0.07418901,0.06324682,-0.08432443,0.9916578,-0.006659269,-0.02042772,0.0009233356,-0.9997688,1655114824407,1655114688960
52,52,0.2759395,0.9003643,0.4664736,0.2832806,0.9003949,0.4696934,-0.07411216,0.06426693,-0.08419004,0.9916094,-0.006555587,-0.01812899,0.001036972,-0.9998137,1655114824463,1655114689011
53,53,0.2759267,0.9003119,0.4665817,0.2834857,0.9003726,0.4698361,-0.07424814,0.0647495,-0.08426015,0.9915619,-0.006553829,-0.01727943,0.001092613,-0.9998287,1655114824505,1655114689060
54,54,0.275997,0.9002576,0.4668491,0.2835066,0.9003621,0.4698653,-0.07432247,0.06504008,-0.08436645,0.9915283,-0.006502837,-0.01712973,0.00114271,-0.9998317,1655114824560,1655114689112
55,55,0.2760958,0.9002174,0.4672301,0.2835072,0.9003519,0.4698852,-0.07433692,0.06513486,-0.08440977,0.9915172,-0.006451964,-0.01708026,0.001192153,-0.9998327,1655114824616,1655114689162
