Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.02788031,0.9153785,0.639064,0.02789382,0.9153622,0.6391345,0.02142012,0.2603693,0.06477098,-0.9630959,-0.03433387,-0.377677,-0.02763468,-0.9248879,1655124110258,1655123974556
1,1,0.02791182,0.9153436,0.6391139,0.02789382,0.9153622,0.6391345,0.02159481,0.2604524,0.06482878,-0.9630656,-0.03433387,-0.377677,-0.02763468,-0.9248879,1655124110297,1655123974593
2,2,0.02789733,0.9153334,0.6391249,0.02789382,0.9153622,0.6391345,0.02191621,0.2606162,0.06481167,-0.9630153,-0.03433387,-0.377677,-0.02763468,-0.9248879,1655124110338,1655123974640
3,3,0.02789994,0.9153655,0.6391481,0.02791525,0.9153519,0.6391528,0.02216112,0.2604894,0.06479436,-0.9630451,-0.03432274,-0.3775391,-0.02767706,-0.9249434,1655124110394,1655123974691
4,4,0.0280341,0.915323,0.6392301,0.02809223,0.91532,0.6392391,0.02227823,0.2598079,0.06490732,-0.9632189,-0.03424552,-0.376938,-0.02762431,-0.925193,1655124110436,1655123974742
5,5,0.02882107,0.9153022,0.639382,0.02860795,0.9152355,0.6394293,0.02201026,0.2566507,0.06487367,-0.9640733,-0.03411996,-0.375271,-0.02745444,-0.9258801,1655124110491,1655123974793
6,6,0.0308455,0.9151474,0.6403174,0.02969075,0.9150743,0.6399564,0.02270508,0.2506242,0.06497739,-0.9656345,-0.03386337,-0.3720727,-0.02712148,-0.9271891,1655124110547,1655123974843
7,7,0.03299452,0.9149734,0.6411551,0.03147347,0.9148673,0.6407203,0.02336913,0.2449587,0.06474549,-0.967087,-0.03354545,-0.3671061,-0.02674496,-0.9291892,1655124110588,1655123974893
8,8,0.03550392,0.9145195,0.6419916,0.03367722,0.9145051,0.641751,0.02494636,0.2364551,0.06534167,-0.9691219,-0.03307849,-0.3608672,-0.02606431,-0.931666,1655124110644,1655123974943
9,9,0.03906761,0.9151646,0.6347612,0.03613754,0.9140792,0.6429919,0.02057807,0.223587,0.06624048,-0.9722127,-0.03239809,-0.3535868,-0.02544311,-0.9344943,1655124110700,1655123974994
10,10,0.04124276,0.9150701,0.6351328,0.03878317,0.9135918,0.6442982,0.02197544,0.2171232,0.06625355,-0.9736453,-0.03173849,-0.3457208,-0.02476689,-0.9374735,1655124110742,1655123975045
11,11,0.04370891,0.9151249,0.6353813,0.04133632,0.9131752,0.6455722,0.02352583,0.2065894,0.06533802,-0.9759602,-0.03104334,-0.3383475,-0.02416888,-0.9401984,1655124110797,1655123975097
12,12,0.04620207,0.9151282,0.6357473,0.04383771,0.9128307,0.6466907,0.02498988,0.1990371,0.06599809,-0.9774477,-0.03056316,-0.3308101,-0.02353361,-0.9429088,1655124110853,1655123975147
13,13,0.04822439,0.9149617,0.6361369,0.04635322,0.9124038,0.6479977,0.02605518,0.1926199,0.06638597,-0.9786785,-0.02979714,-0.3227301,-0.0228163,-0.9457468,1655124110895,1655123975199
14,14,0.05060923,0.9148433,0.6363678,0.04889636,0.9119771,0.6492724,0.02731844,0.1836698,0.06687646,-0.9803299,-0.02914542,-0.3155273,-0.02217758,-0.9482095,1655124110951,1655123975249
15,15,0.0530465,0.9147028,0.6365847,0.05145275,0.9115915,0.6504564,0.02825943,0.175777,0.06795777,-0.9816749,-0.02866802,-0.3077343,-0.02147099,-0.950798,1655124111006,1655123975301
16,16,0.05501425,0.9141308,0.6381785,0.05379967,0.9111867,0.6516562,0.02898798,0.1694955,0.06842203,-0.9827255,-0.02800296,-0.3003502,-0.02084979,-0.9531898,1655124111047,1655123975350
17,17,0.05730914,0.9122368,0.6440768,0.0563459,0.9107696,0.6529709,0.02838799,0.1635684,0.07030617,-0.983614,-0.0272585,-0.2927547,-0.02011532,-0.9555873,1655124111104,1655123975401
18,18,0.05977194,0.9108695,0.6479904,0.05892209,0.9103624,0.6542834,0.02990812,0.1542377,0.07059102,-0.9850549,-0.02659509,-0.2849498,-0.01945856,-0.9579759,1655124111159,1655123975450
19,19,0.06185439,0.9104169,0.6492448,0.06129583,0.9099479,0.6554409,0.03126228,0.1477507,0.07081639,-0.9859906,-0.02601312,-0.2775101,-0.01884478,-0.9601856,1655124111202,1655123975499
20,20,0.06453604,0.9099596,0.6512109,0.06377766,0.9095317,0.6567004,0.0323576,0.1377777,0.070345,-0.9874319,-0.02544379,-0.2700043,-0.01814172,-0.9623519,1655124111257,1655123975550
21,21,0.0663,0.9092721,0.6531311,0.06640308,0.9091544,0.6579996,0.03313347,0.1316105,0.07054292,-0.9882331,-0.02486266,-0.2620967,-0.01748785,-0.9645629,1655124111299,1655123975602
22,22,0.06908882,0.9087258,0.6547036,0.06901981,0.9087269,0.6593188,0.03439631,0.1232549,0.07063352,-0.9892604,-0.02423586,-0.2539769,-0.0167819,-0.966761,1655124111354,1655123975656
23,23,0.07169825,0.9082198,0.6567415,0.07150675,0.9082599,0.6606475,0.03594629,0.1144406,0.07076256,-0.9902545,-0.02353212,-0.2463724,-0.01614124,-0.9687551,1655124111410,1655123975704
24,24,0.07358761,0.9077907,0.6586812,0.07410368,0.9078625,0.6619686,0.03707549,0.1058669,0.07159559,-0.9911063,-0.02284172,-0.2384118,-0.01540601,-0.9707733,1655124111466,1655123975758
25,25,0.07509819,0.9073555,0.6603968,0.07659549,0.9074463,0.6632273,0.03769309,0.09918126,0.07170242,-0.9917666,-0.022292,-0.2302413,-0.01470223,-0.9727671,1655124111507,1655123975808
26,26,0.07758704,0.9069076,0.662867,0.07913496,0.9070687,0.6645832,0.03871053,0.09141375,0.07189886,-0.9924594,-0.02156989,-0.2224928,-0.01404575,-0.9745945,1655124111563,1655123975859
27,27,0.07987519,0.906153,0.6652853,0.08169429,0.906671,0.6659373,0.04031313,0.08315088,0.07285423,-0.9930524,-0.02089489,-0.2147789,-0.01336029,-0.9763477,1655124111619,1655123975909
28,28,0.08187217,0.9054908,0.6670744,0.08413313,0.9062539,0.6672903,0.04142239,0.07589827,0.07300611,-0.9935762,-0.02016856,-0.2069533,-0.01262823,-0.9780615,1655124111661,1655123975960
29,29,0.08471573,0.9047069,0.6695775,0.08664867,0.905837,0.6685974,0.04315171,0.06621765,0.07313114,-0.9941856,-0.0195249,-0.1991155,-0.01197058,-0.9797084,1655124111716,1655123976010
30,30,0.08744195,0.9038491,0.6723734,0.08930072,0.9054185,0.6699843,0.04468614,0.05696728,0.07301447,-0.9946994,-0.01893269,-0.1908233,-0.01127169,-0.9813771,1655124111772,1655123976063
31,31,0.08951738,0.9031397,0.6743954,0.09177728,0.9050316,0.6713047,0.04547194,0.05025082,0.07341845,-0.994996,-0.01822409,-0.183107,-0.01058397,-0.9828671,1655124111814,1655123976110
32,32,0.09244484,0.9023774,0.6770797,0.09432957,0.9046035,0.6726991,0.04631548,0.04120345,0.07298563,-0.9954046,-0.01756135,-0.1748384,-0.009903401,-0.9843907,1655124111870,1655123976164
33,33,0.09457752,0.9017704,0.6790388,0.09689732,0.9042061,0.6740324,0.0469754,0.03478808,0.07307306,-0.9956121,-0.01698886,-0.1669525,-0.009200752,-0.9857757,1655124111912,1655123976213
34,34,0.09739006,0.9007258,0.6816629,0.09956077,0.9037673,0.6754383,0.04865722,0.02659926,0.07392935,-0.9957206,-0.01621032,-0.1586602,-0.00848487,-0.9871638,1655124111967,1655123976264
35,35,0.1004437,0.8998883,0.6841311,0.1020662,0.9033388,0.6768764,0.05030948,0.01892661,0.07492425,-0.9957395,-0.01552291,-0.1505554,-0.007743388,-0.9884495,1655124112023,1655123976315
36,36,0.1025685,0.8993418,0.6857285,0.1046608,0.9029302,0.6782978,0.0512971,0.01206041,0.07472292,-0.9958111,-0.01487027,-0.1425399,-0.007068515,-0.9896522,1655124112065,1655123976367
37,37,0.105274,0.8985131,0.6876876,0.1072354,0.9025217,0.6797208,0.05265542,0.003097315,0.07505452,-0.9957834,-0.0142117,-0.1343668,-0.006352693,-0.9908094,1655124112120,1655123976417
38,38,0.1082644,0.8979345,0.6896381,0.1098943,0.9021037,0.681067,0.05398025,-0.007236127,0.07451653,-0.9957314,-0.01359394,-0.1258876,-0.005646765,-0.9919354,1655124112176,1655123976467
39,39,0.110266,0.8974134,0.6910492,0.1124834,0.9016843,0.682549,0.05441104,-0.01421968,0.0745886,-0.9956273,-0.01291309,-0.1178465,-0.00495556,-0.9929355,1655124112218,1655123976519
40,40,0.113137,0.8968259,0.6927925,0.1150703,0.9012753,0.6840011,0.05588107,-0.02327732,0.07416876,-0.9954067,-0.01217338,-0.10945,-0.004269809,-0.9939086,1655124112274,1655123976570
