Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.08270052,0.9145685,0.3529019,1.001358E-05,-1.001358E-05,-1.999736E-05,-0.005660526,0.4938063,0.07392971,-0.866405,-0.3257131,-0.6397768,-0.6413774,-0.2706136,1654787324822,1654787195992
1,1,0.08270051,0.9145685,0.3529019,1.001358E-05,-1.001358E-05,-1.999736E-05,-0.005659529,0.4938071,0.07392996,-0.8664046,-0.3257131,-0.6397768,-0.6413774,-0.2706136,1654787324848,1654787196028
2,2,0.08279212,0.9145728,0.3529555,0,0,-9.998679E-06,-0.005785385,0.4935208,0.07415754,-0.8665475,-0.3257315,-0.6397954,-0.6413292,-0.2706617,1654787324903,1654787196078
3,3,0.08291837,0.9146939,0.3529912,-1.001358E-05,0,-9.998679E-06,-0.005836091,0.4935001,0.07419704,-0.8665555,-0.3257315,-0.6397954,-0.6413292,-0.2706617,1654787324958,1654787196128
4,4,0.08297192,0.914715,0.3529871,-1.001358E-05,0,-9.998679E-06,-0.005872461,0.493484,0.07419437,-0.8665646,-0.3257315,-0.6397954,-0.6413292,-0.2706617,1654787325000,1654787196180
5,5,0.08293197,0.9146821,0.3530309,0,2.999604E-05,-9.998679E-06,-0.005849055,0.4932939,0.07418402,-0.8666739,-0.3258414,-0.6397226,-0.6413122,-0.2707416,1654787325056,1654787196232
6,6,0.08312362,0.9146675,0.3532348,6.997585E-05,0.0002399832,-1.999736E-05,-0.005684557,0.4924205,0.07423028,-0.8671676,-0.3262727,-0.6394868,-0.6411318,-0.2712061,1654787325111,1654787196284
7,7,0.08360251,0.9143953,0.3540807,0.0004199743,0.0007199794,-0.0001599938,-0.005406626,0.4893505,0.07480944,-0.8688558,-0.3271817,-0.6389902,-0.6405912,-0.2725558,1654787325167,1654787196336
8,8,0.08455789,0.9142508,0.3553127,0.00097996,0.001789987,-0.0003100038,-0.00466577,0.4853004,0.07516987,-0.8710977,-0.3292549,-0.6379647,-0.6394897,-0.2750369,1654787325209,1654787196385
9,9,0.08626781,0.9140198,0.3577008,0.001890004,0.003509998,-0.0004999936,-0.003753209,0.4779643,0.07564691,-0.8751078,-0.3323371,-0.6363744,-0.6378162,-0.2788732,1654787325264,1654787196435
10,10,0.0873697,0.9136606,0.3593342,0.003120005,0.005619988,-0.000819996,-0.00345616,0.4727545,0.07684141,-0.8778307,-0.3361014,-0.6343369,-0.6357244,-0.2837375,1654787325306,1654787196486
11,11,0.08917099,0.913186,0.3617756,0.004499972,0.007949993,-0.001170009,-0.00245289,0.4658915,0.07746167,-0.8814414,-0.3406636,-0.6318595,-0.6331355,-0.2895539,1654787325361,1654787196535
12,12,0.09085007,0.9127963,0.3642503,0.005919993,0.01042999,-0.001599997,-0.0009711071,0.4570886,0.07856713,-0.8859437,-0.344951,-0.6293987,-0.6307323,-0.2950305,1654787325418,1654787196588
13,13,0.09193432,0.912531,0.3658494,0.007380009,0.01289999,-0.001999989,3.643783E-06,0.4517723,0.07930227,-0.8886017,-0.3493165,-0.6268148,-0.6282471,-0.3006437,1654787325460,1654787196637
14,14,0.09337231,0.9121318,0.368217,0.008789957,0.01529999,-0.002360001,0.00129451,0.443248,0.079475,-0.892868,-0.3538964,-0.6242307,-0.6254807,-0.3063778,1654787325515,1654787196688
15,15,0.09492085,0.911624,0.3708099,0.01020998,0.01763999,-0.002749994,0.002693756,0.436046,0.08011964,-0.8963467,-0.3584571,-0.6214524,-0.6227595,-0.3122116,1654787325570,1654787196739
16,16,0.09604993,0.9113968,0.3724119,0.01167995,0.02012999,-0.003130004,0.003703706,0.4295256,0.08031133,-0.8994688,-0.3625915,-0.6189048,-0.6201616,-0.3176223,1654787325613,1654787196791
17,17,0.09732138,0.910875,0.3748215,0.01301998,0.02250999,-0.0035,0.005341178,0.4209007,0.08077251,-0.9034876,-0.3667964,-0.6163606,-0.6174829,-0.3229162,1654787325668,1654787196840
18,18,0.09891532,0.910419,0.3775356,0.01449996,0.02487999,-0.003889993,0.005871452,0.4148523,0.08234335,-0.9061361,-0.3710782,-0.6135551,-0.6147177,-0.3285928,1654787325723,1654787196891
19,19,0.1000424,0.9102051,0.379306,0.01595002,0.02723999,-0.004260004,0.007012669,0.4085373,0.08246472,-0.9089817,-0.3752921,-0.6107684,-0.6119922,-0.3340408,1654787325765,1654787196941
20,20,0.1013627,0.9095612,0.3815841,0.01742995,0.02967,-0.004639998,0.008119596,0.4010331,0.08364252,-0.9122009,-0.3797257,-0.6078418,-0.6090065,-0.3397762,1654787325821,1654787196991
21,21,0.1031104,0.9091284,0.3840347,0.01887,0.03212999,-0.005040005,0.009726805,0.391153,0.08307514,-0.916517,-0.3839686,-0.6050052,-0.6061354,-0.3451619,1654787325877,1654787197043
22,22,0.1042443,0.9088559,0.3858665,0.02030998,0.03457999,-0.005429998,0.009465182,0.3875026,0.08504433,-0.9178887,-0.3881845,-0.602164,-0.6031554,-0.3505924,1654787325919,1654787197094
23,23,0.1056791,0.908375,0.3881071,0.02175999,0.03697999,-0.005769998,0.01079169,0.379032,0.08537583,-0.9213736,-0.3923344,-0.5992799,-0.6002156,-0.3559194,1654787325974,1654787197144
24,24,0.1072544,0.9077573,0.390813,0.02319998,0.03930999,-0.006170005,0.01239637,0.3705348,0.08584306,-0.9247601,-0.3967138,-0.596143,-0.5970382,-0.3616311,1654787326030,1654787197194
25,25,0.1085556,0.9074623,0.3926843,0.02473998,0.04175,-0.006609991,0.0125269,0.3658025,0.08710911,-0.9265223,-0.4007097,-0.5932096,-0.5940703,-0.3668986,1654787326071,1654787197246
26,26,0.1099268,0.9070408,0.3949511,0.02622998,0.04414999,-0.006970003,0.01395344,0.3571581,0.087991,-0.9297855,-0.4047418,-0.5901929,-0.5910357,-0.3722006,1654787326128,1654787197295
27,27,0.1111943,0.9066935,0.3968327,0.02770001,0.04654999,-0.007349998,0.01539606,0.3495789,0.08724113,-0.9327092,-0.4088574,-0.5870432,-0.5879421,-0.3775448,1654787326170,1654787197346
28,28,0.1128357,0.9063493,0.3994134,0.02920997,0.04892999,-0.007740006,0.01604931,0.3423444,0.088269,-0.9352815,-0.4129975,-0.5838853,-0.5847003,-0.3829316,1654787326225,1654787197396
29,29,0.1142226,0.9059149,0.4017845,0.03083998,0.05147,-0.00812,0.01724601,0.3350304,0.08944698,-0.9377934,-0.417152,-0.5805508,-0.5813577,-0.3885464,1654787326281,1654787197446
30,30,0.1154433,0.9056814,0.4035332,0.03226998,0.05378,-0.008430004,0.01819231,0.3283156,0.08964317,-0.9401287,-0.421065,-0.5774112,-0.5781848,-0.3937041,1654787326322,1654787197498
31,31,0.1170902,0.9053494,0.4061702,0.03376997,0.05619,-0.0088,0.01936371,0.3198067,0.08987062,-0.9430122,-0.425173,-0.5741386,-0.574867,-0.3988995,1654787326379,1654787197547
32,32,0.1183684,0.9048979,0.408599,0.03534999,0.05874,-0.009200007,0.0208312,0.3109689,0.09031475,-0.9458899,-0.4292725,-0.5707546,-0.5714194,-0.4042825,1654787326434,1654787197600
33,33,0.1192219,0.9044784,0.4105418,0.03704998,0.06122999,-0.009620011,0.02203078,0.3049476,0.09089113,-0.947766,-0.4333535,-0.567163,-0.5678914,-0.4099151,1654787326476,1654787197650
34,34,0.1207196,0.9042236,0.4130722,0.03851998,0.06355001,-0.00999999,0.0227414,0.2977996,0.09147465,-0.9499635,-0.4371126,-0.5638846,-0.5646052,-0.4149551,1654787326531,1654787197701
35,35,0.121997,0.9037772,0.4154513,0.04008996,0.06599002,-0.01036,0.02397072,0.2883847,0.09212855,-0.9527707,-0.4411046,-0.5604647,-0.561047,-0.4201575,1654787326587,1654787197751
36,36,0.1231373,0.9033865,0.4172593,0.04167998,0.06844999,-0.01076999,0.0250738,0.2827308,0.09271587,-0.9543785,-0.4450404,-0.5568899,-0.5574824,-0.4254717,1654787326629,1654787197802
37,37,0.1245947,0.9029336,0.4199526,0.04323,0.07083999,-0.01119,0.02650969,0.2736827,0.09267869,-0.9569774,-0.4488688,-0.5534231,-0.5539087,-0.4306099,1654787326684,1654787197853
38,38,0.1260899,0.9027044,0.4223792,0.04490998,0.07337998,-0.01159,0.02733053,0.2652205,0.09328386,-0.9592754,-0.4528549,-0.5497073,-0.5502008,-0.4359169,1654787326740,1654787197904
39,39,0.1270807,0.9024155,0.4241601,0.04640999,0.07579999,-0.01190999,0.02845694,0.2583165,0.09309999,-0.9611427,-0.4566444,-0.5462068,-0.5466028,-0.4408621,1654787326782,1654787197952
40,40,0.1287659,0.9020728,0.4268611,0.04798996,0.07824998,-0.01229,0.02923448,0.2506738,0.09442705,-0.9630117,-0.4605729,-0.5424887,-0.5427905,-0.4460461,1654787326837,1654787198004
41,41,0.1296862,0.9018835,0.4288316,0.04964998,0.08075999,-0.01265,0.03027365,0.24383,0.09481534,-0.9646971,-0.4642808,-0.5387891,-0.5391129,-0.4511176,1654787326879,1654787198054
42,42,0.131043,0.901326,0.4312409,0.05129996,0.08318998,-0.01306,0.03164677,0.2353967,0.09584897,-0.9666436,-0.4682568,-0.5347957,-0.5351028,-0.4565021,1654787326935,1654787198105
43,43,0.1326189,0.9011235,0.4338912,0.05296999,0.08567001,-0.01346,0.03253059,0.2262809,0.09526258,-0.9688466,-0.4719048,-0.5310498,-0.5313243,-0.4615046,1654787326991,1654787198155
44,44,0.1336212,0.9006989,0.4358601,0.0546,0.08811997,-0.01387,0.03374841,0.2198147,0.09567393,-0.970252,-0.4755478,-0.5272344,-0.5274979,-0.466502,1654787327033,1654787198205
45,45,0.1350315,0.900347,0.4381606,0.05631998,0.09065999,-0.01428001,0.03441406,0.2112042,0.09680161,-0.9720277,-0.4791876,-0.5233519,-0.5235733,-0.4715432,1654787327088,1654787198256
