06/04/2022 14:41:10, File Created!
06/04/2022 14:41:49:750, 9, idle
06/04/2022 14:41:50:042, 30, idle
06/04/2022 14:41:50:292, 9, idle
06/04/2022 14:41:50:557, 4, idle
06/04/2022 14:41:50:834, 10, idle
06/04/2022 14:41:51:111, 9, idle
06/04/2022 14:41:51:384, 9, idle
06/04/2022 14:41:51:649, 3, idle
06/04/2022 14:41:51:926, 9, idle
06/04/2022 14:41:52:197, 8, idle
06/04/2022 14:41:52:476, 17, idle
06/04/2022 14:41:52:742, 8, idle
06/04/2022 14:41:53:012, 8, idle
06/04/2022 14:41:53:282, 7, idle
06/04/2022 14:41:53:556, 11, idle
06/04/2022 14:41:53:826, 11, idle
06/04/2022 14:41:54:094, 5, idle
06/04/2022 14:41:54:372, 12, idle
06/04/2022 14:41:54:641, 11, idle
06/04/2022 14:41:54:909, 8, idle
06/04/2022 14:41:55:207, 34, repeating_exercise
06/04/2022 14:41:55:509, 66, repeating_exercise
06/04/2022 14:41:55:786, 63, repeating_exercise
06/04/2022 14:41:56:106, 112, repeating_exercise
06/04/2022 14:41:56:573, 38, repeating_exercise
06/04/2022 14:41:56:865, 60, repeating_exercise
06/04/2022 14:41:57:121, 43, repeating_exercise
06/04/2022 14:41:57:381, 31, repeating_exercise
06/04/2022 14:41:57:674, 41, repeating_exercise
06/04/2022 14:41:57:985, 70, repeating_exercise
06/04/2022 14:41:58:205, 14, repeating_exercise
06/04/2022 14:41:58:513, 48, repeating_exercise
06/04/2022 14:41:58:772, 30, repeating_exercise
06/04/2022 14:41:59:070, 53, repeating_exercise
06/04/2022 14:41:59:303, 13, repeating_exercise
06/04/2022 14:41:59:591, 28, repeating_exercise
06/04/2022 14:41:59:924, 71, repeating_exercise
06/04/2022 14:42:00:195, 62, repeating_exercise
06/04/2022 14:42:00:508, 99, repeating_exercise
06/04/2022 14:42:00:692, 7, repeating_exercise
06/04/2022 14:42:01:003, 47, repeating_exercise
06/04/2022 14:42:01:249, 20, repeating_exercise
06/04/2022 14:42:01:568, 66, repeating_exercise
06/04/2022 14:42:01:930, 157, repeating_exercise
06/04/2022 14:42:02:081, 38, repeating_exercise
06/04/2022 14:42:02:395, 80, repeating_exercise
06/04/2022 14:42:02:643, 58, repeating_exercise
06/04/2022 14:42:02:964, 108, repeating_exercise
06/04/2022 14:42:03:153, 18, repeating_exercise
06/04/2022 14:42:03:454, 47, repeating_exercise
06/04/2022 14:42:03:994, 45, repeating_exercise
06/04/2022 14:42:04:317, 96, repeating_exercise
06/04/2022 14:42:04:512, 20, repeating_exercise
06/04/2022 14:42:04:818, 54, repeating_exercise
06/04/2022 14:42:05:127, 87, repeating_exercise
06/04/2022 14:42:05:332, 20, repeating_exercise
06/04/2022 14:42:05:632, 38, repeating_exercise
06/04/2022 14:42:05:898, 8, repeating_exercise
06/04/2022 14:42:06:213, 51, repeating_exercise
06/04/2022 14:42:06:513, 76, repeating_exercise
06/04/2022 14:42:06:726, 16, repeating_exercise
06/04/2022 14:42:07:042, 62, repeating_exercise
06/04/2022 14:42:07:277, 24, repeating_exercise
06/04/2022 14:42:07:558, 34, repeating_exercise
06/04/2022 14:42:07:819, 23, repeating_exercise
06/04/2022 14:42:08:121, 46, repeating_exercise
06/04/2022 14:42:08:379, 33, repeating_exercise
06/04/2022 14:42:08:682, 66, repeating_exercise
06/04/2022 14:42:08:894, 5, repeating_exercise
06/04/2022 14:42:09:204, 28, repeating_exercise
06/04/2022 14:42:09:464, 13, repeating_exercise
06/04/2022 14:42:09:725, 3, repeating_exercise
06/04/2022 14:42:10:082, 89, repeating_exercise
06/04/2022 14:42:10:283, 17, repeating_exercise
06/04/2022 14:42:10:587, 47, repeating_exercise
06/04/2022 14:42:11:148, 67, repeating_exercise
06/04/2022 14:42:11:422, 47, repeating_exercise
06/04/2022 14:42:11:697, 18, repeating_exercise
06/04/2022 14:42:12:042, 81, repeating_exercise
06/04/2022 14:42:12:244, 11, repeating_exercise
06/04/2022 14:42:12:600, 93, repeating_exercise
06/04/2022 14:42:13:172, 119, repeating_exercise
06/04/2022 14:42:13:377, 40, repeating_exercise
06/04/2022 14:42:13:651, 20, repeating_exercise
06/04/2022 14:42:14:406, 158, repeating_exercise
06/04/2022 14:42:14:587, 60, repeating_exercise
06/04/2022 14:42:15:255, 112, repeating_exercise
06/04/2022 14:42:16:069, 50, repeating_exercise
06/04/2022 14:42:16:388, 83, repeating_exercise
06/04/2022 14:42:17:006, 73, repeating_exercise
06/04/2022 14:42:17:538, 28, repeating_exercise
06/04/2022 14:42:17:974, 150, repeating_exercise
06/04/2022 14:42:18:521, 34, repeating_exercise
06/04/2022 14:42:19:812, 71, repeating_exercise
06/04/2022 14:42:20:118, 64, repeating_exercise
06/04/2022 14:42:21:720, 37, repeating_exercise
06/04/2022 14:42:22:464, 186, repeating_exercise
06/04/2022 14:42:22:948, 73, repeating_exercise
06/04/2022 14:42:23:210, 51, repeating_exercise
06/04/2022 14:42:23:467, 37, repeating_exercise
06/04/2022 14:42:23:730, 27, repeating_exercise
06/04/2022 14:42:24:036, 57, repeating_exercise
06/04/2022 14:42:24:266, 10, repeating_exercise
06/04/2022 14:42:24:581, 50, repeating_exercise
06/04/2022 14:42:24:843, 21, repeating_exercise
06/04/2022 14:42:25:150, 50, repeating_exercise
06/04/2022 14:42:25:406, 35, repeating_exercise
06/04/2022 14:42:25:723, 81, repeating_exercise
06/04/2022 14:42:26:016, 104, repeating_exercise
06/04/2022 14:42:26:188, 4, repeating_exercise
06/04/2022 14:42:26:521, 62, repeating_exercise
06/04/2022 14:42:26:765, 28, repeating_exercise
06/04/2022 14:42:27:028, 14, repeating_exercise
06/04/2022 14:42:27:323, 33, repeating_exercise
06/04/2022 14:42:27:601, 21, repeating_exercise
06/04/2022 14:42:27:903, 41, repeating_exercise
06/04/2022 14:42:28:157, 5, repeating_exercise
06/04/2022 14:42:28:433, 7, repeating_exercise
06/04/2022 14:42:28:711, 12, repeating_exercise
06/04/2022 14:42:29:021, 45, repeating_exercise
06/04/2022 14:42:29:259, 7, repeating_exercise
06/04/2022 14:42:29:537, 9, repeating_exercise
06/04/2022 14:42:29:899, 96, repeating_exercise
06/04/2022 14:42:30:100, 24, repeating_exercise
06/04/2022 14:42:30:709, 91, repeating_exercise
06/04/2022 14:42:30:951, 53, repeating_exercise
06/04/2022 14:42:31:179, 9, repeating_exercise
06/04/2022 14:42:31:465, 23, repeating_exercise
06/04/2022 14:42:31:782, 68, repeating_exercise
06/04/2022 14:42:32:000, 15, repeating_exercise
06/04/2022 14:42:32:270, 12, repeating_exercise
06/04/2022 14:42:32:583, 51, repeating_exercise
