06/04/2022 10:53:58, File Created!
06/04/2022 10:54:43:651, 3, repeating_exercise
06/04/2022 10:54:43:920, 2, repeating_exercise
06/04/2022 10:54:44:194, 5, repeating_exercise
06/04/2022 10:54:44:462, 3, repeating_exercise
06/04/2022 10:54:44:733, 4, repeating_exercise
06/04/2022 10:54:45:002, 2, repeating_exercise
06/04/2022 10:54:45:274, 3, repeating_exercise
06/04/2022 10:54:45:545, 3, repeating_exercise
06/04/2022 10:54:45:819, 5, repeating_exercise
06/04/2022 10:54:46:090, 4, repeating_exercise
06/04/2022 10:54:46:359, 3, repeating_exercise
06/04/2022 10:54:46:633, 6, repeating_exercise
06/04/2022 10:54:46:902, 5, repeating_exercise
06/04/2022 10:54:47:178, 11, repeating_exercise
06/04/2022 10:54:47:439, 2, repeating_exercise
06/04/2022 10:54:47:714, 6, repeating_exercise
06/04/2022 10:54:47:983, 5, repeating_exercise
06/04/2022 10:54:48:255, 6, repeating_exercise
06/04/2022 10:54:48:524, 4, repeating_exercise
06/04/2022 10:54:48:799, 7, repeating_exercise
06/04/2022 10:54:49:067, 4, repeating_exercise
06/04/2022 10:54:49:337, 4, repeating_exercise
06/04/2022 10:54:49:608, 5, repeating_exercise
06/04/2022 10:54:49:878, 4, repeating_exercise
06/04/2022 10:54:50:196, 52, repeating_exercise
06/04/2022 10:54:50:418, 4, idle
06/04/2022 10:54:50:687, 2, idle
06/04/2022 10:54:50:958, 3, idle
06/04/2022 10:54:51:229, 3, idle
06/04/2022 10:54:51:500, 2, idle
06/04/2022 10:54:51:770, 2, idle
06/04/2022 10:54:52:043, 4, idle
06/04/2022 10:54:52:312, 2, idle
06/04/2022 10:54:52:582, 2, idle
06/04/2022 10:54:52:853, 3, idle
06/04/2022 10:54:53:123, 3, idle
06/04/2022 10:54:53:394, 3, idle
06/04/2022 10:54:53:664, 2, idle
06/04/2022 10:54:53:938, 5, idle
06/04/2022 10:54:54:208, 5, idle
06/04/2022 10:54:54:477, 4, idle
06/04/2022 10:54:54:749, 4, idle
06/04/2022 10:54:55:018, 3, idle
06/04/2022 10:54:55:288, 2, idle
06/04/2022 10:54:55:560, 4, idle
06/04/2022 11:42:10:800, 6, idle
06/04/2022 11:42:11:068, 2, idle
06/04/2022 11:42:11:341, 3, idle
06/04/2022 11:42:11:610, 2, idle
06/04/2022 11:42:11:884, 5, idle
06/04/2022 11:42:12:151, 2, idle
06/04/2022 11:42:12:423, 3, idle
06/04/2022 11:42:12:695, 4, idle
06/04/2022 11:42:12:964, 3, idle
06/04/2022 11:42:13:236, 5, idle
06/04/2022 11:42:13:511, 9, creating_exercise
06/04/2022 11:42:13:775, 3, creating_exercise
06/04/2022 11:42:14:046, 3, creating_exercise
06/04/2022 11:42:14:319, 4, creating_exercise
06/04/2022 11:42:14:588, 3, creating_exercise
06/04/2022 11:42:14:859, 4, creating_exercise
06/04/2022 11:42:15:132, 4, creating_exercise
06/04/2022 11:42:15:401, 3, creating_exercise
06/04/2022 11:42:15:672, 3, creating_exercise
06/04/2022 11:42:15:943, 3, creating_exercise
06/04/2022 11:42:16:214, 4, creating_exercise
06/04/2022 11:42:16:482, 2, creating_exercise
06/04/2022 11:42:16:754, 3, idle
06/04/2022 11:42:17:027, 4, idle
06/04/2022 11:42:17:296, 3, idle
06/04/2022 11:42:17:569, 6, idle
06/04/2022 11:42:17:836, 3, idle
06/04/2022 11:43:34:500, 7, idle
06/04/2022 11:43:34:772, 6, idle
06/04/2022 11:43:35:040, 2, idle
06/04/2022 11:43:35:310, 2, idle
06/04/2022 11:43:35:581, 2, idle
06/04/2022 11:43:35:855, 5, idle
06/04/2022 11:43:36:125, 3, idle
06/04/2022 11:43:36:395, 3, idle
06/04/2022 11:43:36:664, 2, idle
06/04/2022 11:43:36:937, 4, creating_exercise
06/04/2022 11:43:37:206, 2, creating_exercise
06/04/2022 11:43:37:491, 17, creating_exercise
06/04/2022 11:43:37:747, 2, creating_exercise
06/04/2022 11:43:38:017, 2, creating_exercise
06/04/2022 11:43:38:296, 11, creating_exercise
06/04/2022 11:43:38:560, 4, creating_exercise
06/04/2022 11:43:38:831, 4, creating_exercise
06/04/2022 11:43:39:100, 3, creating_exercise
06/04/2022 11:43:39:370, 2, creating_exercise
06/04/2022 11:43:39:642, 3, creating_exercise
06/04/2022 11:43:39:912, 3, creating_exercise
06/04/2022 11:43:40:185, 6, creating_exercise
06/04/2022 11:43:40:455, 5, creating_exercise
06/04/2022 11:43:40:725, 4, creating_exercise
06/04/2022 11:43:40:996, 4, creating_exercise
06/04/2022 11:43:41:266, 4, creating_exercise
06/04/2022 11:43:41:537, 4, creating_exercise
06/04/2022 11:43:41:808, 4, creating_exercise
06/04/2022 11:43:42:076, 2, creating_exercise
06/04/2022 11:43:42:346, 2, creating_exercise
06/04/2022 11:43:42:617, 2, creating_exercise
06/04/2022 11:43:42:893, 6, creating_exercise
06/04/2022 11:43:43:159, 2, creating_exercise
06/04/2022 11:43:43:431, 4, creating_exercise
06/04/2022 11:43:43:702, 4, creating_exercise
06/04/2022 11:43:43:970, 2, creating_exercise
06/04/2022 11:43:44:241, 3, creating_exercise
06/04/2022 11:43:44:513, 2, creating_exercise
06/04/2022 11:43:44:791, 8, creating_exercise
06/04/2022 11:43:45:056, 3, creating_exercise
06/04/2022 11:43:45:327, 4, creating_exercise
06/04/2022 11:43:45:600, 4, idle
06/04/2022 11:43:45:870, 3, idle
06/04/2022 11:43:46:142, 3, idle
06/04/2022 11:43:46:416, 6, idle
06/04/2022 11:48:40:659, 8, idle
06/04/2022 11:48:40:933, 10, idle
06/04/2022 11:48:41:197, 3, idle
